date,strategy,drawdown
2017-08-16,baseline_no_overlay,-0.010462243815736016
2017-08-17,baseline_no_overlay,-0.01359538504831126
2017-08-18,baseline_no_overlay,-0.012956611726892109
2017-08-21,baseline_no_overlay,-0.013061397587584955
2017-08-22,baseline_no_overlay,-0.016807743802721098
2017-08-23,baseline_no_overlay,-0.014485491660992778
2017-08-24,baseline_no_overlay,-0.0125437186671703
2017-08-25,baseline_no_overlay,-0.011568523294567257
2017-08-28,baseline_no_overlay,-0.008584248983642184
2017-08-29,baseline_no_overlay,-0.010454436014093349
2017-08-30,baseline_no_overlay,-0.00810654830238322
2017-08-31,baseline_no_overlay,-0.0058702401016160755
2017-09-01,baseline_no_overlay,-0.0025701589327964403
2017-09-05,baseline_no_overlay,-0.0005726928369194084
2017-09-06,baseline_no_overlay,0.0
2017-09-07,baseline_no_overlay,0.0
2017-09-08,baseline_no_overlay,0.0
2017-09-11,baseline_no_overlay,-0.0020249377982550776
2017-09-12,baseline_no_overlay,-0.0007846238792730276
2017-09-13,baseline_no_overlay,0.0
2017-09-14,baseline_no_overlay,0.0
2017-09-15,baseline_no_overlay,-0.00026900502889948275
2017-09-18,baseline_no_overlay,0.0
2017-09-19,baseline_no_overlay,-0.0010343662016381039
2017-09-20,baseline_no_overlay,-0.001100113055217622
2017-09-21,baseline_no_overlay,-0.002082383998516124
2017-09-22,baseline_no_overlay,-0.000544304844976029
2017-09-25,baseline_no_overlay,-0.0013557269610331435
2017-09-26,baseline_no_overlay,-0.0014821052415030511
2017-09-27,baseline_no_overlay,-0.002294204993421034
2017-09-28,baseline_no_overlay,-0.0017654741977218835
2017-09-29,baseline_no_overlay,-0.0019784083067300173
2017-10-02,baseline_no_overlay,-0.003101393223040705
2017-10-03,baseline_no_overlay,-0.005236426138053751
2017-10-04,baseline_no_overlay,-0.0013147569663493064
2017-10-05,baseline_no_overlay,-0.0015832027905140489
2017-10-06,baseline_no_overlay,-0.0002468136332318682
2017-10-09,baseline_no_overlay,0.0
2017-10-10,baseline_no_overlay,0.0
2017-10-11,baseline_no_overlay,0.0
2017-10-12,baseline_no_overlay,0.0
2017-10-13,baseline_no_overlay,0.0
2017-10-16,baseline_no_overlay,-0.0009174628421603215
2017-10-17,baseline_no_overlay,0.0
2017-10-18,baseline_no_overlay,-0.0003578856754169468
2017-10-19,baseline_no_overlay,0.0
2017-10-20,baseline_no_overlay,-0.001151379698724253
2017-10-23,baseline_no_overlay,-0.004717066461168984
2017-10-24,baseline_no_overlay,-0.002101533212356399
2017-10-25,baseline_no_overlay,0.0
2017-10-26,baseline_no_overlay,-0.0003186314055274586
2017-10-27,baseline_no_overlay,0.0
2017-10-30,baseline_no_overlay,0.0
2017-10-31,baseline_no_overlay,-0.004154937080733667
2017-11-01,baseline_no_overlay,-0.0015343927460337303
2017-11-02,baseline_no_overlay,-0.006659771492186217
2017-11-03,baseline_no_overlay,-0.0016151609666965605
2017-11-06,baseline_no_overlay,0.0
2017-11-07,baseline_no_overlay,0.0
2017-11-08,baseline_no_overlay,0.0
2017-11-09,baseline_no_overlay,0.0
2017-11-10,baseline_no_overlay,0.0
2017-11-13,baseline_no_overlay,0.0
2017-11-14,baseline_no_overlay,0.0
2017-11-15,baseline_no_overlay,0.0
2017-11-16,baseline_no_overlay,0.0
2017-11-17,baseline_no_overlay,-0.0011019900979551966
2017-11-20,baseline_no_overlay,0.0
2017-11-21,baseline_no_overlay,0.0
2017-11-22,baseline_no_overlay,0.0
2017-11-23,baseline_no_overlay,0.0
2017-11-24,baseline_no_overlay,0.0
2017-11-27,baseline_no_overlay,0.0
2017-11-28,baseline_no_overlay,0.0
2017-11-29,baseline_no_overlay,0.0
2017-11-30,baseline_no_overlay,-0.0012103945128275617
2017-12-01,baseline_no_overlay,0.0
2017-12-04,baseline_no_overlay,0.0
2017-12-05,baseline_no_overlay,-0.00897700753725561
2017-12-06,baseline_no_overlay,-0.011668465344835899
2017-12-07,baseline_no_overlay,-0.015831762673312544
2017-12-08,baseline_no_overlay,-0.015218577681159307
2017-12-11,baseline_no_overlay,-0.025394235260988496
2017-12-12,baseline_no_overlay,-0.021416849079252787
2017-12-13,baseline_no_overlay,-0.02274984907572808
2017-12-14,baseline_no_overlay,-0.017978019767083242
2017-12-15,baseline_no_overlay,-0.01830369835261947
2017-12-18,baseline_no_overlay,-0.009022074800625224
2017-12-19,baseline_no_overlay,-0.012248251587987258
2017-12-20,baseline_no_overlay,-0.01138150660973547
2017-12-21,baseline_no_overlay,-0.014700396153226714
2017-12-22,baseline_no_overlay,-0.012076001214255228
2017-12-25,baseline_no_overlay,-0.009451157447590397
2017-12-26,baseline_no_overlay,-0.006067770082770596
2017-12-27,baseline_no_overlay,-0.004896532545842658
2017-12-28,baseline_no_overlay,-0.0011657929185323601
2017-12-29,baseline_no_overlay,0.0
2018-01-02,baseline_no_overlay,0.0
2018-01-03,baseline_no_overlay,0.0
2018-01-04,baseline_no_overlay,0.0
2018-01-05,baseline_no_overlay,-0.003320229130441388
2018-01-08,baseline_no_overlay,0.0
2018-01-09,baseline_no_overlay,0.0
2018-01-10,baseline_no_overlay,0.0
2018-01-11,baseline_no_overlay,0.0
2018-01-12,baseline_no_overlay,0.0
2018-01-15,baseline_no_overlay,0.0
2018-01-16,baseline_no_overlay,-0.00029254210528939506
2018-01-17,baseline_no_overlay,-0.013151720036944092
2018-01-18,baseline_no_overlay,-0.006770149185169383
2018-01-19,baseline_no_overlay,-0.0013859305667287547
2018-01-22,baseline_no_overlay,0.0
2018-01-25,baseline_no_overlay,0.0
2018-01-26,baseline_no_overlay,0.0
2018-01-29,baseline_no_overlay,-0.0027026880933702646
2018-01-30,baseline_no_overlay,-0.002419629667781864
2018-01-31,baseline_no_overlay,-0.0025288535438477977
2018-02-01,baseline_no_overlay,-0.007083814214936313
2018-02-02,baseline_no_overlay,-0.004897696941170815
2018-02-05,baseline_no_overlay,-0.027989765247627973
2018-02-06,baseline_no_overlay,-0.042616154517654325
2018-02-07,baseline_no_overlay,-0.03096323261616374
2018-02-08,baseline_no_overlay,-0.037910131637234445
2018-02-09,baseline_no_overlay,-0.04539320827005844
2018-02-12,baseline_no_overlay,-0.030387623465628844
2018-02-13,baseline_no_overlay,-0.023181230801582187
2018-02-21,baseline_no_overlay,-0.012118487130977407
2018-02-22,baseline_no_overlay,-0.01676327522949783
2018-02-23,baseline_no_overlay,-0.006036088765863479
2018-02-26,baseline_no_overlay,-0.0009221300217350237
2018-02-27,baseline_no_overlay,0.0
2018-02-28,baseline_no_overlay,0.0
2018-03-01,baseline_no_overlay,-0.0025318310996456095
2018-03-02,baseline_no_overlay,-0.0002604986433922818
2018-03-05,baseline_no_overlay,-0.011635747633540583
2018-03-06,baseline_no_overlay,-0.0014814420282471819
2018-03-07,baseline_no_overlay,-0.0048494976958367575
2018-03-08,baseline_no_overlay,-0.0002436302208423946
2018-03-09,baseline_no_overlay,-0.0005524423790376209
2018-03-12,baseline_no_overlay,0.0
2018-03-13,baseline_no_overlay,0.0
2018-03-14,baseline_no_overlay,0.0
2018-03-15,baseline_no_overlay,0.0
