horizon,fold,model_kind,feature_group,feature,importance
20,0,logistic,base_plus_downside_all,up_ratio_20,0.1635210108729341
20,0,logistic,base_plus_downside_all,signed_streak,0.14304180007045877
20,0,logistic,base_plus_downside_all,downside_hmm_risk_probability,0.14016569849167085
20,0,logistic,base_plus_downside_all,ema_distance_200,0.1382740031665684
20,0,logistic,base_plus_downside_all,downside_negative_return_streak,0.13469657884286457
20,0,logistic,base_plus_downside_all,vol_of_vol_60,0.1300179390693659
20,0,logistic,base_plus_downside_all,ma_cross_200,0.12875128192731114
20,0,logistic,base_plus_downside_all,hmm_expected_return,0.11615840253567483
20,0,logistic,base_plus_downside_all,ma_cross_10,0.11509305839120865
20,0,logistic,base_plus_downside_all,ma_cross_20,0.11305386191415541
20,0,logistic,base_plus_downside_all,ma_cross_100,0.10965557442051954
20,0,logistic,base_plus_downside_all,candle_body,0.10887663793825872
20,0,logistic,base_plus_downside_all,sma_slope_10,0.10854148972954503
20,0,logistic,base_plus_downside_all,volatility_10,0.10660951973992824
20,0,logistic,base_plus_downside_all,downside_sigma_change,0.1043233000610805
20,0,logistic,base_plus_downside_all,upper_shadow,0.10415683724105033
20,0,logistic,base_plus_downside_all,ma_cross_50,0.10360643849592716
20,0,logistic,base_plus_downside_all,distance_from_low_5,0.10010074182469861
20,0,logistic,base_plus_downside_all,upside_vol_10,0.09683462671064048
20,0,logistic,base_plus_downside_all,downside_return_kurtosis_20,0.09427288424024986
20,0,logistic,base_plus_downside_all,downside_hmm_turbulence_change,0.09261636693375032
20,0,logistic,base_plus_downside_all,egarch_volatility_change,0.08854369196460038
20,0,logistic,base_plus_downside_all,log_return_5,0.08594218651588728
20,0,logistic,base_plus_downside_all,vol_of_vol_20,0.08390210167870844
20,0,logistic,base_plus_downside_all,drawdown_from_high_5,0.08149967267541317
20,0,logistic,base_plus_downside_all,distance_from_low_10,0.0755905125114141
20,0,logistic,base_plus_downside_all,volume_ratio_20,0.07481687391970207
