date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae,baseline_exposure
2017-03-14,20,0,multiclass_probability_sum,0,0.4518063220170447,0.49,0,0.01509446901248456,-0.005851621678872168,
2017-03-15,20,0,multiclass_probability_sum,0,0.4841629757795465,0.49,0,0.015596946411992458,-0.0036525102417857428,
2017-03-16,20,0,multiclass_probability_sum,0,0.44855090249017554,0.49,0,0.004925465353037955,-0.006145403988295327,
2017-03-17,20,0,multiclass_probability_sum,0,0.4938560503601772,0.49,1,0.0004080570210768779,0.0004080570210768779,
2017-03-20,20,0,multiclass_probability_sum,0,0.4579499514715885,0.49,0,-0.0001958041964299736,-0.005947138644852871,
2017-03-21,20,0,multiclass_probability_sum,0,0.44522587579383355,0.49,0,0.0008234760924535129,-0.0074982306588886345,
2017-03-22,20,0,multiclass_probability_sum,0,0.4697183830237709,0.49,0,-0.0003928170645349613,-0.0029639640457520384,
2017-03-23,20,0,multiclass_probability_sum,0,0.4297615979556446,0.49,0,-0.009986325719664652,-0.01220661273952597,
2017-03-24,20,0,multiclass_probability_sum,1,0.4271987128665727,0.49,0,-0.01781358009204111,-0.01781358009204111,
2017-03-27,20,0,multiclass_probability_sum,1,0.4351242083238807,0.49,0,-0.022277491759671322,-0.022277491759671322,
2017-03-28,20,0,multiclass_probability_sum,1,0.4761230941175628,0.49,0,-0.012901599229970945,-0.016372208376640208,
2017-03-29,20,0,multiclass_probability_sum,0,0.4583193773909739,0.49,0,-0.005483660227073459,-0.01805307949120649,
2017-03-30,20,0,multiclass_probability_sum,0,0.44259207129769984,0.49,0,-0.008504549764059552,-0.022747306191615753,
2017-03-31,20,0,multiclass_probability_sum,0,0.4746325687858547,0.49,0,-0.0038422906791098967,-0.02060371229391333,
2017-04-03,20,0,multiclass_probability_sum,0,0.4693335639829955,0.49,0,-0.0004984768865333976,-0.0207006188967898,
2017-04-04,20,0,multiclass_probability_sum,0,0.43724228347389266,0.49,0,-0.005733531847760569,-0.023134046527927766,
2017-04-05,20,0,multiclass_probability_sum,0,0.46909186525164526,0.49,0,-0.006046839682971941,-0.021862766232900864,
2017-04-07,20,0,multiclass_probability_sum,0,0.43808809941115634,0.49,0,-0.008054882660650534,-0.028381667189401216,
2017-04-10,20,0,multiclass_probability_sum,1,0.4417181020579467,0.49,0,-0.007646958552369185,-0.031015738762205963,
2017-04-11,20,0,multiclass_probability_sum,1,0.43237174782662846,0.49,0,-0.008706932615436674,-0.03301409694160374,
2017-04-12,20,0,multiclass_probability_sum,0,0.4854587701854655,0.49,0,-0.0002894655246098968,-0.025120637695305433,
2017-04-13,20,0,multiclass_probability_sum,0,0.49567446766271084,0.49,1,0.0013795959972505922,-0.023424003657726924,
