date,strategy,equity
2017-03-14,baseline_no_overlay,1.0
2017-03-15,baseline_no_overlay,0.9985491897460357
2017-03-16,baseline_no_overlay,0.9995958699414147
2017-03-17,baseline_no_overlay,0.9967423896941606
2017-03-20,baseline_no_overlay,0.999369288545483
2017-03-21,baseline_no_overlay,1.0000375011457627
2017-03-22,baseline_no_overlay,0.9979300112508978
2017-03-23,baseline_no_overlay,1.001946146402213
2017-03-24,baseline_no_overlay,1.003615007004954
2017-03-27,baseline_no_overlay,1.0045337201910374
2017-03-28,baseline_no_overlay,1.001692972666724
2017-03-29,baseline_no_overlay,1.0024063127610172
2017-03-30,baseline_no_overlay,1.0045381924264138
2017-03-31,baseline_no_overlay,1.0035137931944609
2017-04-03,baseline_no_overlay,1.0035289328260248
2017-04-04,baseline_no_overlay,1.0046129679961344
2017-04-05,baseline_no_overlay,1.0039962177412887
2017-04-07,baseline_no_overlay,1.0068334903935707
2017-04-10,baseline_no_overlay,1.0080501092267513
2017-04-11,baseline_no_overlay,1.0089909909205539
2017-04-12,baseline_no_overlay,1.0051975496260415
2017-04-13,baseline_no_overlay,1.0044125498201872
2017-04-14,baseline_no_overlay,1.000921956441216
2017-04-17,baseline_no_overlay,0.9964341692511366
2017-04-18,baseline_no_overlay,0.9987260927298329
2017-04-19,baseline_no_overlay,0.9998293332608942
2017-04-20,baseline_no_overlay,0.9972365237964051
2017-04-21,baseline_no_overlay,0.9970537608733947
2017-04-24,baseline_no_overlay,0.9952855084311926
2017-04-25,baseline_no_overlay,0.9942523057769451
2017-04-26,baseline_no_overlay,0.9956599552008049
2017-04-27,baseline_no_overlay,0.9996221637396926
2017-04-28,baseline_no_overlay,1.0003753765980279
2017-05-03,baseline_no_overlay,1.0015531752385263
2017-05-04,baseline_no_overlay,1.003199936227815
2017-05-05,baseline_no_overlay,1.001852522827539
2017-05-08,baseline_no_overlay,1.00111215450587
2017-05-09,baseline_no_overlay,1.0031433522254358
2017-05-10,baseline_no_overlay,1.0045691884900376
2017-05-11,baseline_no_overlay,1.0049833141108035
2017-05-12,baseline_no_overlay,1.0052239634029978
2017-05-15,baseline_no_overlay,1.0052101515758598
2017-05-16,baseline_no_overlay,1.0050047685689893
2017-05-17,baseline_no_overlay,1.0063145706932806
2017-05-18,baseline_no_overlay,1.006173302485351
2017-05-19,baseline_no_overlay,1.0101936811876768
2017-05-22,baseline_no_overlay,1.0166483656225311
2017-05-23,baseline_no_overlay,1.0146475475837167
2017-05-24,baseline_no_overlay,1.0157098255656087
2017-05-25,baseline_no_overlay,1.0151846491256926
2017-05-26,baseline_no_overlay,1.0160455420228585
2017-05-29,baseline_no_overlay,1.0177342302289205
2017-05-30,baseline_no_overlay,1.0128744058789234
2017-05-31,baseline_no_overlay,1.012624354902533
2017-06-01,baseline_no_overlay,1.0148868202788162
2017-06-02,baseline_no_overlay,1.0130308162024155
2017-06-05,baseline_no_overlay,1.0155932977599322
2017-06-06,baseline_no_overlay,1.0200711824237545
2017-06-07,baseline_no_overlay,1.021365829590897
2017-06-08,baseline_no_overlay,1.0193113635777888
2017-06-09,baseline_no_overlay,1.019048859155026
2017-06-12,baseline_no_overlay,1.0197987645748292
2017-06-13,baseline_no_overlay,1.0231319789974505
2017-06-14,baseline_no_overlay,1.025478398145349
2017-06-15,baseline_no_overlay,1.0253447064464711
2017-06-16,baseline_no_overlay,1.0257400082171424
2017-06-19,baseline_no_overlay,1.0291280574847703
2017-06-20,baseline_no_overlay,1.0298264993219928
2017-06-21,baseline_no_overlay,1.029475323079839
2017-06-22,baseline_no_overlay,1.0288140620829815
2017-06-23,baseline_no_overlay,1.0302865279494187
2017-06-26,baseline_no_overlay,1.0323279708970383
2017-06-27,baseline_no_overlay,1.0293586856623633
2017-06-28,baseline_no_overlay,1.030122767305115
2017-06-29,baseline_no_overlay,1.0316354734369668
2017-06-30,baseline_no_overlay,1.0343404450241171
2017-07-03,baseline_no_overlay,1.0357444241581786
2017-07-04,baseline_no_overlay,1.0338187078494148
2017-07-05,baseline_no_overlay,1.0354330082595886
2017-07-06,baseline_no_overlay,1.0379847947266576
2017-07-07,baseline_no_overlay,1.0339120663957115
2017-07-10,baseline_no_overlay,1.0289375182168732
2017-07-11,baseline_no_overlay,1.0304123725279173
2017-07-12,baseline_no_overlay,1.033141222638372
2017-07-13,baseline_no_overlay,1.0354713066460484
2017-07-14,baseline_no_overlay,1.0350461152789956
2017-07-17,baseline_no_overlay,1.030286999987236
2017-07-18,baseline_no_overlay,1.029521673541376
2017-07-19,baseline_no_overlay,1.0315290386612652
2017-07-20,baseline_no_overlay,1.0299878823569546
2017-07-21,baseline_no_overlay,1.0265166286502465
2017-07-24,baseline_no_overlay,1.025433558499594
2017-07-25,baseline_no_overlay,1.0293500190251876
2017-07-26,baseline_no_overlay,1.0330602392946153
2017-07-27,baseline_no_overlay,1.031617506212052
2017-07-28,baseline_no_overlay,1.0346313044152486
2017-07-31,baseline_no_overlay,1.0384069959889706
2017-08-01,baseline_no_overlay,1.0404164935772577
2017-08-02,baseline_no_overlay,1.040052556819486
2017-08-03,baseline_no_overlay,1.0413081369648005
2017-08-04,baseline_no_overlay,1.0414138504354034
2017-08-07,baseline_no_overlay,1.043878563861394
2017-08-08,baseline_no_overlay,1.0430718247567476
2017-08-09,baseline_no_overlay,1.033243574930567
2017-08-10,baseline_no_overlay,1.0330944238636464
2017-08-11,baseline_no_overlay,1.032407546299732
2017-08-14,baseline_no_overlay,1.0344512546894544
2017-08-15,baseline_no_overlay,1.0317194106036307
2017-08-16,baseline_no_overlay,1.0329572518122558
2017-08-17,baseline_no_overlay,1.0296866328420202
2017-08-18,baseline_no_overlay,1.0303534346194163
2017-08-21,baseline_no_overlay,1.0302440509056432
2017-08-22,baseline_no_overlay,1.0263333203988594
2017-08-23,baseline_no_overlay,1.0287574696294908
2017-08-24,baseline_no_overlay,1.030784444833627
2017-08-25,baseline_no_overlay,1.0318024303786641
2017-08-28,baseline_no_overlay,1.034917650360521
2017-08-29,baseline_no_overlay,1.0329654022090216
2017-08-30,baseline_no_overlay,1.0354163118616293
2017-08-31,baseline_no_overlay,1.0377507460545976
2017-09-01,baseline_no_overlay,1.041195630045731
2017-09-05,baseline_no_overlay,1.043280742085257
2017-09-06,baseline_no_overlay,1.0439882379313739
2017-09-07,baseline_no_overlay,1.045854280027626
2017-09-08,baseline_no_overlay,1.0484121701178128
2017-09-11,baseline_no_overlay,1.0462892006863906
2017-09-12,baseline_no_overlay,1.047589560893818
2017-09-13,baseline_no_overlay,1.049141089382335
2017-09-14,baseline_no_overlay,1.0511249224199395
2017-09-15,baseline_no_overlay,1.050842164529807
2017-09-18,baseline_no_overlay,1.0519402058172076
2017-09-19,baseline_no_overlay,1.050852114422166
2017-09-20,baseline_no_overlay,1.0507829526634798
2017-09-21,baseline_no_overlay,1.049749662365218
2017-09-22,baseline_no_overlay,1.0513676296665562
2017-09-25,baseline_no_overlay,1.0505140621187865
2017-09-26,baseline_no_overlay,1.0503811197244182
2017-09-27,baseline_no_overlay,1.0495268393442414
2017-09-28,baseline_no_overlay,1.050083032526291
2017-09-29,baseline_no_overlay,1.0498590385758355
2017-10-02,baseline_no_overlay,1.048677725591842
2017-10-03,baseline_no_overlay,1.0464317986277967
2017-10-04,baseline_no_overlay,1.0505571601034265
2017-10-05,baseline_no_overlay,1.050274771147904
2017-10-06,baseline_no_overlay,1.0516805726330671
2017-10-09,baseline_no_overlay,1.0523310855654506
2017-10-10,baseline_no_overlay,1.0533128530504918
2017-10-11,baseline_no_overlay,1.0553004263235364
2017-10-12,baseline_no_overlay,1.0564456601971932
2017-10-13,baseline_no_overlay,1.0594753542950448
2017-10-16,baseline_no_overlay,1.0585033250252944
2017-10-17,baseline_no_overlay,1.0635620230721397
2017-10-18,baseline_no_overlay,1.0631813894591646
2017-10-19,baseline_no_overlay,1.0638725222163197
2017-10-20,baseline_no_overlay,1.0626476009922092
2017-10-23,baseline_no_overlay,1.0588541648228138
2017-10-24,baseline_no_overlay,1.0616367587771687
2017-10-25,baseline_no_overlay,1.0647471767571905
2017-10-26,baseline_no_overlay,1.064407914867729
2017-10-27,baseline_no_overlay,1.0700912590124125
2017-10-30,baseline_no_overlay,1.0728195142323451
2017-10-31,baseline_no_overlay,1.0683620166517265
2017-11-01,baseline_no_overlay,1.0711733877519036
2017-11-02,baseline_no_overlay,1.0656747814151994
2017-11-03,baseline_no_overlay,1.0710867380286466
2017-11-06,baseline_no_overlay,1.074003403841989
2017-11-07,baseline_no_overlay,1.0746867274751954
2017-11-08,baseline_no_overlay,1.0798429166832375
2017-11-09,baseline_no_overlay,1.0802252605828475
2017-11-10,baseline_no_overlay,1.084440022717006
2017-11-13,baseline_no_overlay,1.090493312149863
2017-11-14,baseline_no_overlay,1.0913471451560812
2017-11-15,baseline_no_overlay,1.092285490103937
2017-11-16,baseline_no_overlay,1.0979459335107193
2017-11-17,baseline_no_overlay,1.0967360079639004
2017-11-20,baseline_no_overlay,1.1035223405800267
2017-11-21,baseline_no_overlay,1.11182934089371
2017-11-22,baseline_no_overlay,1.120084479560293
2017-11-23,baseline_no_overlay,1.1206842072460672
2017-11-24,baseline_no_overlay,1.1217946926179325
2017-11-27,baseline_no_overlay,1.1236044867027806
2017-11-28,baseline_no_overlay,1.125131849333912
2017-11-29,baseline_no_overlay,1.131663512963058
2017-11-30,baseline_no_overlay,1.1302937536566002
2017-12-01,baseline_no_overlay,1.1360645645241458
2017-12-04,baseline_no_overlay,1.1419502994435626
2017-12-05,baseline_no_overlay,1.1316990029982865
2017-12-06,baseline_no_overlay,1.1286254919489804
2017-12-07,baseline_no_overlay,1.123871213318054
2017-12-08,baseline_no_overlay,1.1245714401034577
2017-12-11,baseline_no_overlay,1.1129513448831365
2017-12-12,baseline_no_overlay,1.1174933222243724
2017-12-13,baseline_no_overlay,1.1159711024792391
2017-12-14,baseline_no_overlay,1.1214202943871396
2017-12-15,baseline_no_overlay,1.1210483856288642
2017-12-18,baseline_no_overlay,1.1316475384233864
2017-12-19,baseline_no_overlay,1.1279634048750005
2017-12-20,baseline_no_overlay,1.1289531845624563
2017-12-21,baseline_no_overlay,1.1251631776544464
2017-12-22,baseline_no_overlay,1.128160106240863
2017-12-25,baseline_no_overlay,1.1311575473661986
2017-12-26,baseline_no_overlay,1.135021207580588
2017-12-27,baseline_no_overlay,1.1363587026366024
2017-12-28,baseline_no_overlay,1.1406190218711554
2017-12-29,baseline_no_overlay,1.1445789979181553
2018-01-02,baseline_no_overlay,1.1504713379345357
2018-01-03,baseline_no_overlay,1.1556963913228993
2018-01-04,baseline_no_overlay,1.1631540875720892
2018-01-05,baseline_no_overlay,1.1592921494873403
2018-01-08,baseline_no_overlay,1.1644677720334222
2018-01-09,baseline_no_overlay,1.1702432535234644
2018-01-10,baseline_no_overlay,1.1727875537173171
2018-01-11,baseline_no_overlay,1.1782985638037158
2018-01-12,baseline_no_overlay,1.179372939149954
2018-01-15,baseline_no_overlay,1.1866103908374228
2018-01-16,baseline_no_overlay,1.186263257335529
2018-01-17,baseline_no_overlay,1.1710044231842003
2018-01-18,baseline_no_overlay,1.1785768614667813
2018-01-19,baseline_no_overlay,1.1849658312259632
2018-01-22,baseline_no_overlay,1.1985567179410308
2018-01-25,baseline_no_overlay,1.208065391634949
2018-01-26,baseline_no_overlay,1.2142127138088212
2018-01-29,baseline_no_overlay,1.2109310755643914
2018-01-30,baseline_no_overlay,1.2112747687034915
2018-01-31,baseline_no_overlay,1.2111421476845208
2018-02-01,baseline_no_overlay,1.205611456526786
2018-02-02,baseline_no_overlay,1.208265867914469
2018-02-05,baseline_no_overlay,1.180227184988627
2018-02-06,baseline_no_overlay,1.1624676371798441
2018-02-07,baseline_no_overlay,1.1766167631056552
2018-02-08,baseline_no_overlay,1.1681817499927252
2018-02-09,baseline_no_overlay,1.1590957032067446
2018-02-12,baseline_no_overlay,1.1773156750544194
2018-02-13,baseline_no_overlay,1.1860657686478036
2018-02-21,baseline_no_overlay,1.19949829266226
2018-02-22,baseline_no_overlay,1.1938585319000885
2018-02-23,baseline_no_overlay,1.2068836180876312
