model,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,turnover,total_transaction_cost,hit_rate,average_exposure,time_in_market,state_changes,cvar_95,time_in_risk_reduced_state,avoided_loss,opportunity_cost
baseline_no_overlay,0.23996571506607078,0.054528269601406124,0.07959592110714332,0.6850636168655694,0.7452783538149854,0.24526420623227205,-0.22232461246206603,17.885560715929497,0.017885560715929498,0.5774647887323944,0.4214951056549065,0.9989939637826962,993,0.014078929219380592,0.0,,
baseline_risk_overlay,0.03447884768161025,0.008593801122445751,0.04701073249645064,0.1828050886697967,0.17098151831982547,0.057286305522026994,-0.15001493016758383,24.78000386514217,0.024780003865142168,0.5724346076458753,0.17467088516982107,0.9989939637826962,993,0.00837823754606004,0.959758551307847,0.8057250250607044,0.9879002008633425
buy_and_hold,0.63332269600998,0.12438162349360057,0.18985370787311412,0.6551445578125299,0.7080140591902856,0.2747954957111239,-0.45263341442960026,1.0,0.001,0.5784708249496981,0.9989939637826962,0.9989939637826962,1,0.033709358755410125,0.0,,
cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,,
