date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae
2020-03-24,20,0,multiclass_probability_sum,0,0.5192247725578514,0.49,1,0.15394478450154675,0.004616079692811852
2020-03-30,20,0,multiclass_probability_sum,0,0.5146858971160602,0.49,1,0.14710232981920116,0.0004076117780754718
2020-05-04,20,0,multiclass_probability_sum,0,0.5252014961957965,0.49,1,0.1418462371285337,0.002214027878861953
2020-03-23,20,0,multiclass_probability_sum,0,0.508965911452242,0.49,1,0.14010301039088294,-0.01113301587785287
2020-05-05,20,0,multiclass_probability_sum,0,0.4999438787869042,0.49,1,0.13521809747848498,0.023831740450791252
2017-11-02,20,0,multiclass_probability_sum,0,0.5261936758572872,0.49,1,0.1312466181213637,0.012690858654217072
2017-11-03,20,0,multiclass_probability_sum,0,0.4913068986720829,0.49,1,0.1294444371912882,0.006332649558034385
2017-12-15,20,0,multiclass_probability_sum,0,0.5276982077276593,0.49,1,0.12857478785423704,0.01158835434427728
2020-12-17,20,0,multiclass_probability_sum,0,0.5284587202043334,0.49,1,0.12700204589722436,0.014807535459071354
2017-12-13,20,0,multiclass_probability_sum,0,0.514711412937838,0.49,1,0.12565618706599366,0.011572759243244145
2020-12-11,20,0,multiclass_probability_sum,0,0.5039419034104661,0.49,1,0.1247148192804355,0.005539335239784134
2020-12-10,20,0,multiclass_probability_sum,0,0.5524970027014958,0.49,1,0.12458553088434743,0.014493216658684761
2017-12-11,20,0,multiclass_probability_sum,0,0.5319749767099431,0.49,1,0.11916635005811989,0.00754679586926295
2017-10-31,20,0,multiclass_probability_sum,0,0.5200250778867174,0.49,1,0.11700773890724928,-0.005016863076016063
2020-04-29,20,0,multiclass_probability_sum,0,0.503700540844002,0.49,1,0.11688260019239091,-0.008670838743590035
2020-12-15,20,0,multiclass_probability_sum,0,0.5159399299800664,0.49,1,0.11683179984726685,-0.003322199122111105
2020-04-28,20,0,multiclass_probability_sum,0,0.49756423301473396,0.49,1,0.11578680564890859,-0.006197394449860097
2017-12-21,20,0,multiclass_probability_sum,0,0.5025967129261287,0.49,1,0.11566912101294423,0.006595120776870579
2017-12-14,20,0,multiclass_probability_sum,0,0.49396796150624833,0.49,1,0.11519499234428067,-0.0007375695814352092
2017-11-07,20,0,multiclass_probability_sum,0,0.4935141430924398,0.49,1,0.1143051400648742,0.01095898174574021
2020-03-20,20,0,multiclass_probability_sum,0,0.49857284694059356,0.49,1,0.11341976207345843,-0.07384246763668896
2020-11-16,20,0,multiclass_probability_sum,0,0.5298409750761799,0.49,1,0.1125820348187735,0.018868189419210448
2020-03-26,20,0,multiclass_probability_sum,0,0.49055546805071,0.49,1,0.1122281657692905,-0.04711628031859396
2020-12-18,20,0,multiclass_probability_sum,0,0.5071732077698856,0.49,1,0.11030023711320881,5.620661553331797e-05
2020-12-16,20,0,multiclass_probability_sum,0,0.4949649969196619,0.49,1,0.10692444264996757,-0.014367140970939841
2020-04-27,20,0,multiclass_probability_sum,0,0.49201323193338425,0.49,1,0.10660783997212185,-0.010826851735547193
2020-12-08,20,0,multiclass_probability_sum,0,0.5228380618383064,0.49,1,0.10499999753788625,0.0016018099018983414
2020-07-27,20,0,multiclass_probability_sum,0,0.5224106492645415,0.49,1,0.10107456324693004,0.007195416860559414
2020-07-29,20,0,multiclass_probability_sum,0,0.5128606828985841,0.49,1,0.09937811268691556,0.00950152816203515
