date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae
2020-02-25,20,0,multiclass_probability_sum,1,0.4430275163698463,0.49,0,-0.32203974799631657,-0.32203974799631657
2020-02-27,20,0,multiclass_probability_sum,1,0.4885191537273491,0.49,0,-0.2578854176360755,-0.30961777764748144
2020-02-24,20,0,multiclass_probability_sum,1,0.47932123042131497,0.49,0,-0.30392384099123926,-0.30392384099123926
2020-03-05,20,0,multiclass_probability_sum,1,0.47750070346568946,0.49,0,-0.24128520194357536,-0.30389151670957726
2020-03-06,20,0,multiclass_probability_sum,1,0.4789921410533863,0.49,0,-0.19058951112099445,-0.3017959843556858
2020-03-03,20,0,multiclass_probability_sum,1,0.473032341078455,0.49,0,-0.29584078135592223,-0.3008644728268095
2020-03-04,20,0,multiclass_probability_sum,1,0.48794702646830934,0.49,0,-0.26808237062719614,-0.2994711985196914
2020-03-02,20,0,multiclass_probability_sum,1,0.4834271190213367,0.49,0,-0.28928514163463015,-0.29390122132744195
2020-02-20,20,0,multiclass_probability_sum,1,0.4657269123791371,0.49,0,-0.2564211653722282,-0.2564211653722282
2020-03-10,20,0,multiclass_probability_sum,1,0.44975876450869684,0.49,0,-0.11299154811428287,-0.23937911531610864
2020-02-17,20,0,multiclass_probability_sum,1,0.4813039093422604,0.49,0,-0.22308471504216587,-0.22308471504216587
2020-03-11,20,0,multiclass_probability_sum,1,0.4649478946821418,0.49,0,-0.064946977420964,-0.20765737860243288
2020-02-14,20,0,multiclass_probability_sum,1,0.48436749121476375,0.49,0,-0.20750562299895964,-0.20750562299895964
2020-02-13,20,0,multiclass_probability_sum,1,0.4564130584763786,0.49,0,-0.1985897656160261,-0.1985897656160261
2020-03-12,20,0,multiclass_probability_sum,1,0.4811592498458024,0.49,0,-0.014811787365578347,-0.15437386581903836
2018-04-02,20,0,multiclass_probability_sum,1,0.4840598256885035,0.49,0,-0.1533765695976356,-0.1533765695976356
2021-01-12,20,0,multiclass_probability_sum,1,0.45299597096873434,0.49,0,-0.06707581771522907,-0.1522095092368541
2021-01-14,20,0,multiclass_probability_sum,1,0.48329039901516113,0.49,0,-0.011025694094087617,-0.14810811170380284
2021-01-11,20,0,multiclass_probability_sum,1,0.4562700587129467,0.49,0,-0.08974878407969741,-0.14599201212354693
2020-02-12,20,0,multiclass_probability_sum,1,0.4495238809417686,0.49,0,-0.1447092124293791,-0.1447092124293791
2020-03-13,20,0,multiclass_probability_sum,1,0.4699761472589135,0.49,0,0.005250180628185085,-0.14461565170688745
2018-06-11,20,0,multiclass_probability_sum,1,0.4462967833068795,0.49,0,-0.12697803597469642,-0.14430536585550743
2018-06-08,20,0,multiclass_probability_sum,1,0.4293059634575577,0.49,0,-0.12436013664009588,-0.1442957413553799
2018-06-13,20,0,multiclass_probability_sum,1,0.44838942696941037,0.49,0,-0.14306277582845955,-0.14306277582845955
2018-06-07,20,0,multiclass_probability_sum,1,0.434912216745636,0.49,0,-0.1420603499538463,-0.1420603499538463
2018-05-15,20,0,multiclass_probability_sum,1,0.45805969809608027,0.49,0,-0.05037689044903865,-0.14161507895946793
2018-10-04,20,0,multiclass_probability_sum,1,0.4828210321041283,0.49,0,-0.11990031820962685,-0.1413521746871404
2018-05-14,20,0,multiclass_probability_sum,1,0.4385141102374351,0.49,0,-0.026554266791509823,-0.13552296862425645
2018-04-12,20,0,multiclass_probability_sum,1,0.48566105176149676,0.49,0,-0.08865728148766527,-0.13346563047159213
2018-06-06,20,0,multiclass_probability_sum,1,0.424599686014203,0.49,0,-0.12276036093154652,-0.13262315367593766
2021-01-08,20,0,multiclass_probability_sum,1,0.4519413079652505,0.49,0,-0.0355480643807609,-0.13136950706877412
2018-05-07,20,0,multiclass_probability_sum,1,0.41715828874548755,0.49,0,-0.04671279484366944,-0.1310894545710018
2021-01-22,20,0,multiclass_probability_sum,1,0.41467015933246676,0.49,0,0.0014473827599051786,-0.1305898868157041
2021-01-25,20,0,multiclass_probability_sum,1,0.4340735488157772,0.49,0,0.017107660602391814,-0.129964037504929
2018-05-08,20,0,multiclass_probability_sum,1,0.4425588332313495,0.49,0,-0.0362080461201468,-0.12938408696198758
2018-06-15,20,0,multiclass_probability_sum,1,0.4677653805096872,0.49,0,-0.11099361084210675,-0.12936473453850006
