horizon,class,metric,estimate,ci_low,ci_high,support,replicates,block_length
20,Bull,recall,0.4321266968325792,0.3297218460471338,0.525542173786549,442,50,20
20,Bull,precision,0.4860050890585242,0.33428563919259885,0.6100380178220263,442,50,20
20,Bull,f1,0.45748502994011975,0.33056606585204673,0.5505018689742908,442,50,20
20,Bull,pr_auc,0.47079873688000706,0.34222490161779456,0.5982301223353368,442,50,20
20,Bull,brier,0.27956637854143956,0.2304526428356033,0.32467152572320773,442,50,20
20,Sideway,recall,0.21575342465753425,0.10929824561403509,0.31723427767731566,292,50,20
20,Sideway,precision,0.2850678733031674,0.16170780200191964,0.38269203572005817,292,50,20
20,Sideway,f1,0.24561403508771928,0.1323189317673378,0.34146549164830703,292,50,20
20,Sideway,pr_auc,0.286564688800763,0.20768722538553597,0.34754341496436253,292,50,20
20,Sideway,brier,0.2108447496552816,0.18269220528443036,0.23711959499403,292,50,20
20,Bear,recall,0.13541666666666666,0.046483516483516486,0.23239583333333333,96,50,20
20,Bear,precision,0.13541666666666666,0.06914595028067362,0.2410837887067395,96,50,20
20,Bear,f1,0.13541666666666666,0.06175703194603538,0.22319834183673468,96,50,20
20,Bear,pr_auc,0.10949450026027649,0.08082515887985733,0.16838736036877863,96,50,20
20,Bear,brier,0.10720599763125721,0.08913213574447426,0.12509798893790128,96,50,20
20,Stress,recall,0.23170731707317074,0.10638706140350877,0.34746093749999996,164,50,20
20,Stress,precision,0.13380281690140844,0.05556609653705843,0.22568630254503858,164,50,20
20,Stress,f1,0.16964285714285715,0.07249742002063983,0.25566925580945626,164,50,20
20,Stress,pr_auc,0.1494974168667606,0.09092274908144375,0.2300482672268614,164,50,20
20,Stress,brier,0.1473138023661957,0.11116768274034977,0.17820841201443965,164,50,20
