date,horizon,fold,evaluation_scope,actual_class,predicted_class,raw_prob_bull,prob_bull,raw_prob_sideway,prob_sideway,raw_prob_bear,prob_bear,raw_prob_stress,prob_stress,raw_baseline_risk_off_probability,baseline_risk_off_probability,raw_candidate_risk_off_probability,candidate_risk_off_probability,baseline_risk_off_threshold,candidate_risk_off_threshold,baseline_risk_off_alert,candidate_risk_off_alert,baseline_temperature,candidate_temperature,actual_risk_off,forward_return,future_mae
2017-03-14,20,0,nested_purged_development_oos,Bull,Bull,0.37620973369208743,0.30110877741863434,0.23405866620089386,0.2470849005643209,0.13187362914478415,0.19454797727037304,0.2578579709622346,0.25725834474667164,0.3897316001070188,0.4518063220170447,0.5653070046703268,0.521880095021598,0.49,0.62,0,0,2.4,3.0,0,0.01509446901248456,-0.005851621678872168
2017-03-15,20,0,nested_purged_development_oos,Bull,Bull,0.32537001946631505,0.2821276401880711,0.20707647717700406,0.23370938403238245,0.15280106318826805,0.20590852176656269,0.31475244016841286,0.27825445401298377,0.4675535033566809,0.4841629757795465,0.6724586954447695,0.559658325859668,0.49,0.62,0,0,2.4,3.0,0,0.015596946411992458,-0.0036525102417857428
2017-03-16,20,0,nested_purged_development_oos,Sideway,Bull,0.4007786635930593,0.30971492098989156,0.22110920207245,0.241734176519933,0.13647023593977894,0.1977050173684755,0.2416418983947117,0.25084588512170003,0.37811213433449065,0.44855090249017554,0.40986604746610344,0.469660721367523,0.49,0.62,0,0,2.4,3.0,0,0.004925465353037955,-0.006145403988295327
2017-03-17,20,0,nested_purged_development_oos,Sideway,Stress,0.3041323868996846,0.2760458410639774,0.19647128573572406,0.2300981085758454,0.13285735145053468,0.1954860441818612,0.3665389759140567,0.29837000617831605,0.4993963273645914,0.4938560503601772,0.5449763040127591,0.5150282069576709,0.49,0.62,1,0,2.4,3.0,0,0.0004080570210768779,0.0004080570210768779
2017-03-20,20,0,nested_purged_development_oos,Sideway,Bull,0.37491588360093103,0.3017672913834561,0.21699758505686945,0.2402827571449553,0.11934044327919618,0.18729574773268748,0.2887460880630034,0.27065420373890103,0.4080865313421996,0.4579499514715885,0.4412628362139742,0.48034026800804575,0.49,0.62,0,0,2.4,3.0,0,-0.0001958041964299736,-0.005947138644852871
2017-03-21,20,0,nested_purged_development_oos,Sideway,Bull,0.40923313797586974,0.3137698797055731,0.2172516332415511,0.2410042445005934,0.12005469668419835,0.1882339987696317,0.2534605320983808,0.25699187702420184,0.37351522878257915,0.44522587579383355,0.4395711619467702,0.47976916337570863,0.49,0.62,0,0,2.4,3.0,0,0.0008234760924535129,-0.0074982306588886345
2017-03-22,20,0,nested_purged_development_oos,Sideway,Bull,0.3371952141918423,0.2883593728938189,0.22123893238445494,0.24192224408241023,0.11832005083327161,0.1863907974189012,0.3232458025904312,0.2833275856048697,0.4415658534237028,0.4697183830237709,0.7389090685802346,0.5858337803246957,0.49,0.62,0,0,2.4,3.0,0,-0.0003928170645349613,-0.0029639640457520384
2017-03-23,20,0,nested_purged_development_oos,Sideway,Bull,0.4401595413500382,0.3248044058346613,0.22467815945397593,0.24543399620969403,0.11855520334622136,0.1880404519451595,0.21660709584976445,0.24172114601048514,0.33516229919598584,0.4297615979556446,0.7066381321906087,0.5727395436592672,0.49,0.62,0,0,2.4,3.0,0,-0.009986325719664652,-0.01220661273952597
2017-03-24,20,0,nested_purged_development_oos,Bear,Bull,0.4717952532410903,0.3358344822991333,0.20431625116344723,0.2369668048342941,0.12358414995977242,0.19218188807752082,0.20030434563569008,0.23501682478905186,0.3238884955954625,0.4271987128665727,0.7453621542318342,0.5885584556686131,0.49,0.62,0,0,2.4,3.0,1,-0.01781358009204111,-0.01781358009204111
2017-03-27,20,0,nested_purged_development_oos,Bear,Bull,0.46558343387670814,0.3330290041755344,0.19521949114980738,0.23184678750058482,0.13557657399514148,0.19917127281707547,0.20362050097834303,0.23595293550680524,0.3391970749734845,0.4351242083238807,0.6827483872364937,0.5635241320274536,0.49,0.62,0,0,2.4,3.0,1,-0.022277491759671322,-0.022277491759671322
