scope,date,horizon,fold,model,recall,precision,false_positive_rate
rolling,2015-05-19,20,0,multiclass_probability_sum,1.0,0.35,1.0
rolling,2015-05-20,20,0,multiclass_probability_sum,1.0,0.34146341463414637,1.0
rolling,2015-05-21,20,0,multiclass_probability_sum,1.0,0.3333333333333333,1.0
rolling,2015-05-22,20,0,multiclass_probability_sum,1.0,0.32558139534883723,1.0
rolling,2015-05-25,20,0,multiclass_probability_sum,1.0,0.3181818181818182,1.0
rolling,2015-05-26,20,0,multiclass_probability_sum,1.0,0.3181818181818182,0.967741935483871
rolling,2015-05-27,20,0,multiclass_probability_sum,1.0,0.3111111111111111,0.96875
rolling,2015-05-28,20,0,multiclass_probability_sum,1.0,0.3111111111111111,0.9393939393939394
rolling,2015-05-29,20,0,multiclass_probability_sum,1.0,0.30434782608695654,0.9411764705882353
rolling,2015-06-01,20,0,multiclass_probability_sum,1.0,0.30434782608695654,0.9142857142857143
rolling,2015-06-02,20,0,multiclass_probability_sum,1.0,0.2978723404255319,0.9166666666666666
rolling,2015-06-03,20,0,multiclass_probability_sum,1.0,0.2916666666666667,0.918918918918919
rolling,2015-06-04,20,0,multiclass_probability_sum,1.0,0.2857142857142857,0.9210526315789473
rolling,2015-06-05,20,0,multiclass_probability_sum,1.0,0.28,0.9230769230769231
rolling,2015-06-08,20,0,multiclass_probability_sum,1.0,0.27450980392156865,0.925
rolling,2015-06-09,20,0,multiclass_probability_sum,1.0,0.2692307692307692,0.926829268292683
rolling,2015-06-10,20,0,multiclass_probability_sum,1.0,0.2641509433962264,0.9285714285714286
rolling,2015-06-11,20,0,multiclass_probability_sum,1.0,0.25925925925925924,0.9302325581395349
rolling,2015-06-12,20,0,multiclass_probability_sum,1.0,0.2545454545454545,0.9318181818181818
rolling,2015-06-15,20,0,multiclass_probability_sum,1.0,0.25,0.9333333333333333
rolling,2015-06-16,20,0,multiclass_probability_sum,1.0,0.24561403508771928,0.9347826086956522
rolling,2015-06-17,20,0,multiclass_probability_sum,1.0,0.2413793103448276,0.9361702127659575
rolling,2015-06-18,20,0,multiclass_probability_sum,1.0,0.23728813559322035,0.9375
rolling,2015-06-19,20,0,multiclass_probability_sum,1.0,0.23333333333333334,0.9387755102040817
rolling,2015-06-22,20,0,multiclass_probability_sum,1.0,0.22950819672131148,0.94
rolling,2015-06-23,20,0,multiclass_probability_sum,1.0,0.22580645161290322,0.9411764705882353
rolling,2015-06-24,20,0,multiclass_probability_sum,1.0,0.2222222222222222,0.9423076923076923
rolling,2015-06-25,20,0,multiclass_probability_sum,1.0,0.21875,0.9433962264150944
rolling,2015-06-26,20,0,multiclass_probability_sum,1.0,0.2153846153846154,0.9444444444444444
rolling,2015-06-29,20,0,multiclass_probability_sum,1.0,0.21212121212121213,0.9454545454545454
rolling,2015-06-30,20,0,multiclass_probability_sum,1.0,0.208955223880597,0.9464285714285714
rolling,2015-07-01,20,0,multiclass_probability_sum,1.0,0.20588235294117646,0.9473684210526315
rolling,2015-07-02,20,0,multiclass_probability_sum,1.0,0.2028985507246377,0.9482758620689655
rolling,2015-07-03,20,0,multiclass_probability_sum,1.0,0.2,0.9491525423728814
rolling,2015-07-06,20,0,multiclass_probability_sum,1.0,0.2112676056338028,0.9491525423728814
rolling,2015-07-07,20,0,multiclass_probability_sum,1.0,0.2222222222222222,0.9491525423728814
rolling,2015-07-08,20,0,multiclass_probability_sum,1.0,0.2328767123287671,0.9491525423728814
rolling,2015-07-09,20,0,multiclass_probability_sum,1.0,0.24324324324324326,0.9491525423728814
rolling,2015-07-10,20,0,multiclass_probability_sum,1.0,0.25333333333333335,0.9491525423728814
rolling,2015-07-13,20,0,multiclass_probability_sum,1.0,0.2631578947368421,0.9491525423728814
rolling,2015-07-14,20,0,multiclass_probability_sum,1.0,0.2727272727272727,0.9491525423728814
rolling,2015-07-15,20,0,multiclass_probability_sum,1.0,0.28205128205128205,0.9491525423728814
rolling,2015-07-16,20,0,multiclass_probability_sum,1.0,0.2911392405063291,0.9491525423728814
rolling,2015-07-17,20,0,multiclass_probability_sum,1.0,0.3,0.9491525423728814
rolling,2015-07-20,20,0,multiclass_probability_sum,1.0,0.30864197530864196,0.9491525423728814
rolling,2015-07-21,20,0,multiclass_probability_sum,1.0,0.3170731707317073,0.9491525423728814
rolling,2015-07-22,20,0,multiclass_probability_sum,1.0,0.3253012048192771,0.9491525423728814
rolling,2015-07-23,20,0,multiclass_probability_sum,1.0,0.3333333333333333,0.9491525423728814
rolling,2015-07-24,20,0,multiclass_probability_sum,1.0,0.3411764705882353,0.9491525423728814
rolling,2015-07-27,20,0,multiclass_probability_sum,1.0,0.3488372093023256,0.9491525423728814
rolling,2015-07-28,20,0,multiclass_probability_sum,1.0,0.3563218390804598,0.9491525423728814
rolling,2015-07-29,20,0,multiclass_probability_sum,1.0,0.36363636363636365,0.9491525423728814
rolling,2015-07-30,20,0,multiclass_probability_sum,1.0,0.3707865168539326,0.9491525423728814
rolling,2015-07-31,20,0,multiclass_probability_sum,1.0,0.37777777777777777,0.9491525423728814
rolling,2015-08-03,20,0,multiclass_probability_sum,1.0,0.38461538461538464,0.9491525423728814
rolling,2015-08-04,20,0,multiclass_probability_sum,1.0,0.391304347826087,0.9491525423728814
rolling,2015-08-05,20,0,multiclass_probability_sum,1.0,0.3978494623655914,0.9491525423728814
rolling,2015-08-06,20,0,multiclass_probability_sum,1.0,0.40425531914893614,0.9491525423728814
rolling,2015-08-07,20,0,multiclass_probability_sum,1.0,0.4105263157894737,0.9491525423728814
rolling,2015-08-10,20,0,multiclass_probability_sum,1.0,0.4166666666666667,0.9491525423728814
rolling,2015-08-11,20,0,multiclass_probability_sum,1.0,0.422680412371134,0.9491525423728814
rolling,2015-08-12,20,0,multiclass_probability_sum,1.0,0.42857142857142855,0.9491525423728814
rolling,2015-08-13,20,0,multiclass_probability_sum,1.0,0.43434343434343436,0.9491525423728814
rolling,2015-08-14,20,0,multiclass_probability_sum,1.0,0.44,0.9491525423728814
rolling,2015-08-17,20,0,multiclass_probability_sum,1.0,0.44554455445544555,0.9491525423728814
rolling,2015-08-18,20,0,multiclass_probability_sum,1.0,0.45098039215686275,0.9491525423728814
rolling,2015-08-19,20,0,multiclass_probability_sum,1.0,0.4563106796116505,0.9491525423728814
rolling,2015-08-20,20,0,multiclass_probability_sum,1.0,0.4519230769230769,0.95
rolling,2015-08-21,20,0,multiclass_probability_sum,1.0,0.44761904761904764,0.9508196721311475
rolling,2015-08-24,20,0,multiclass_probability_sum,1.0,0.44339622641509435,0.9516129032258065
rolling,2015-08-25,20,0,multiclass_probability_sum,1.0,0.4392523364485981,0.9523809523809523
rolling,2015-08-26,20,0,multiclass_probability_sum,1.0,0.4351851851851852,0.953125
rolling,2015-08-27,20,0,multiclass_probability_sum,1.0,0.43119266055045874,0.9538461538461539
rolling,2015-08-28,20,0,multiclass_probability_sum,1.0,0.43119266055045874,0.9393939393939394
rolling,2015-08-31,20,0,multiclass_probability_sum,1.0,0.42727272727272725,0.9402985074626866
rolling,2015-09-01,20,0,multiclass_probability_sum,1.0,0.42727272727272725,0.9264705882352942
rolling,2015-09-03,20,0,multiclass_probability_sum,1.0,0.42342342342342343,0.927536231884058
rolling,2015-09-04,20,0,multiclass_probability_sum,1.0,0.41964285714285715,0.9285714285714286
rolling,2015-09-07,20,0,multiclass_probability_sum,1.0,0.415929203539823,0.9295774647887324
rolling,2015-09-08,20,0,multiclass_probability_sum,1.0,0.41228070175438597,0.9305555555555556
rolling,2015-09-09,20,0,multiclass_probability_sum,1.0,0.40869565217391307,0.9315068493150684
rolling,2015-09-10,20,0,multiclass_probability_sum,1.0,0.4,0.9324324324324325
rolling,2015-09-11,20,0,multiclass_probability_sum,1.0,0.391304347826087,0.9333333333333333
rolling,2015-09-14,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-15,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-16,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-17,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-18,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-21,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-22,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-23,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-24,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-25,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-28,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-29,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-09-30,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-10-01,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-10-02,20,0,multiclass_probability_sum,1.0,0.3826086956521739,0.9342105263157895
rolling,2015-10-05,20,0,multiclass_probability_sum,1.0,0.3739130434782609,0.935064935064935
rolling,2015-10-06,20,0,multiclass_probability_sum,1.0,0.3652173913043478,0.9358974358974359
rolling,2015-10-07,20,0,multiclass_probability_sum,1.0,0.3565217391304348,0.9367088607594937
rolling,2015-10-08,20,0,multiclass_probability_sum,1.0,0.34782608695652173,0.9375
rolling,2015-10-09,20,0,multiclass_probability_sum,1.0,0.3391304347826087,0.9382716049382716
rolling,2015-10-12,20,0,multiclass_probability_sum,1.0,0.33043478260869563,0.9390243902439024
rolling,2015-10-13,20,0,multiclass_probability_sum,1.0,0.3217391304347826,0.9397590361445783
rolling,2015-10-14,20,0,multiclass_probability_sum,1.0,0.3130434782608696,0.9404761904761905
rolling,2015-10-15,20,0,multiclass_probability_sum,1.0,0.30434782608695654,0.9411764705882353
rolling,2015-10-16,20,0,multiclass_probability_sum,1.0,0.2956521739130435,0.9418604651162791
rolling,2015-10-19,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-20,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-21,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-22,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-23,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-26,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-27,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-28,20,0,multiclass_probability_sum,1.0,0.28695652173913044,0.9425287356321839
rolling,2015-10-29,20,0,multiclass_probability_sum,1.0,0.2956521739130435,0.9418604651162791
rolling,2015-10-30,20,0,multiclass_probability_sum,1.0,0.30434782608695654,0.9411764705882353
rolling,2015-11-02,20,0,multiclass_probability_sum,1.0,0.3130434782608696,0.9404761904761905
rolling,2015-11-03,20,0,multiclass_probability_sum,1.0,0.3217391304347826,0.9397590361445783
rolling,2015-11-04,20,0,multiclass_probability_sum,1.0,0.33043478260869563,0.9390243902439024
rolling,2015-11-05,20,0,multiclass_probability_sum,1.0,0.3391304347826087,0.9382716049382716
rolling,2015-11-06,20,0,multiclass_probability_sum,1.0,0.34782608695652173,0.9375
rolling,2015-11-09,20,0,multiclass_probability_sum,1.0,0.3565217391304348,0.9367088607594937
rolling,2015-11-10,20,0,multiclass_probability_sum,1.0,0.3652173913043478,0.9358974358974359
rolling,2015-11-11,20,0,multiclass_probability_sum,1.0,0.3706896551724138,0.948051948051948
rolling,2015-11-12,20,0,multiclass_probability_sum,1.0,0.3793103448275862,0.9473684210526315
rolling,2015-11-13,20,0,multiclass_probability_sum,1.0,0.38461538461538464,0.96
rolling,2015-11-16,20,0,multiclass_probability_sum,1.0,0.39316239316239315,0.9594594594594594
rolling,2015-11-17,20,0,multiclass_probability_sum,1.0,0.3983050847457627,0.9726027397260274
rolling,2015-11-18,20,0,multiclass_probability_sum,1.0,0.4067796610169492,0.9722222222222222
rolling,2015-11-19,20,0,multiclass_probability_sum,1.0,0.4152542372881356,0.971830985915493
rolling,2015-11-20,20,0,multiclass_probability_sum,1.0,0.423728813559322,0.9714285714285714
rolling,2015-11-23,20,0,multiclass_probability_sum,1.0,0.4322033898305085,0.9710144927536232
rolling,2015-11-24,20,0,multiclass_probability_sum,1.0,0.4406779661016949,0.9705882352941176
rolling,2015-11-25,20,0,multiclass_probability_sum,1.0,0.4491525423728814,0.9701492537313433
