model,horizon,n_obs,threshold,recall,precision,f1,specificity,false_negative_rate,false_positive_rate,pr_auc,roc_auc,brier,log_loss,ece,calibration_slope,calibration_intercept,expected_false_negative_loss,expected_false_positive_opportunity_cost,expected_cost,worst_missed_drawdown,mean_missed_drawdown,alert_fraction,tp,fp,fn,tn,multiclass_macro_f1
candidate_risk_off,20,497.0,0.33,0.7653688524590164,0.22108441822067257,0.3341688861669761,0.14997544853635505,0.2346311475409836,0.8500245514636449,0.2330737283723255,0.46685496206359844,0.29126886517076206,0.7782225330138276,0.30658471686601085,-0.67325442418471,-0.9214275130867007,0.007849970214440468,0.02101512859243908,0.044565039235760495,0.20389315192893104,0.10029292365140208,0.8256203890006707,93.66666666666667,316.6666666666667,33.666666666666664,53.0,0.20509197263997433
candidate_risk_off,40,495.0,0.26,0.9311263318112633,0.24023962701357723,0.37989749763979846,0.024832855778414518,0.06887366818873668,0.9751671442215856,0.25818225535341055,0.48071213272383284,0.2918889304892088,0.7807176705385955,0.317312389607383,-0.15641900392230354,-1.1050454628140007,0.002144211123510708,0.04046786391640841,0.04690049728694053,0.25012957976478245,0.10716007400160489,0.9636363636363635,114.0,363.0,9.333333333333334,8.666666666666666,0.22963497144680592
candidate_risk_off,60,493.0,0.5233333333333333,0.7154081392613504,0.28407293234879444,0.3426532544654335,0.2994791666666667,0.2845918607386497,0.7005208333333334,0.23195397066728837,0.4370459543179628,0.2977185532143561,0.7915351170481122,0.3474079924959516,-2.7781361386659964,-0.3101161604180562,0.01085936437100999,0.03556923022582265,0.06814732333885261,0.33353872107735577,0.25706857556547025,0.7025016903313048,82.0,264.3333333333333,31.666666666666668,115.0,0.246418125592469
multiclass_probability_sum,20,497.0,0.45,0.6578863346104725,0.2286284253416945,0.33372453452667356,0.26818513974705005,0.3421136653895274,0.7318148602529501,0.29524431248122895,0.49916175357577613,0.2577382213369914,0.7090961975514999,0.25165188306831954,0.7100796717338737,-1.3185531578280327,0.009765968130934152,0.01815344465078847,0.04745134904359092,0.233172556925912,0.10501195481201155,0.7109322602280349,82.33333333333333,271.0,45.0,98.66666666666667,0.20509197263997433
multiclass_probability_sum,40,495.0,0.32666666666666666,0.9191956445381103,0.2559435261707989,0.4001322751322751,0.11441036176108249,0.0808043554618897,0.8855896382389176,0.25480586226895036,0.47198464869729034,0.26857882067237143,0.7371658510223268,0.2763254143742461,0.07348737072683398,-1.1868400352290218,0.0031277983844071274,0.037750997243723834,0.047134392396945224,0.22463883896676143,0.16323432813738475,0.8915824915824916,113.66666666666667,327.6666666666667,9.666666666666666,44.0,0.22963497144680592
multiclass_probability_sum,60,493.0,0.3,0.929899308582525,0.23372980897181542,0.3733626461990421,0.08533141517476556,0.070100691417475,0.9146685848252344,0.22750111464292458,0.4378041776300463,0.2728207508916622,0.7459093438277994,0.29569226199252846,-0.18954455788901017,-1.2788823989191742,0.00304856887331546,0.04865512956501398,0.05780083618496037,0.2504118048111482,0.22109715800448893,0.9175118323191346,106.0,346.3333333333333,7.666666666666667,33.0,0.246418125592469
