stage,horizon,fold,peak_rss,peak_python_bytes
load_and_targets,,,242388992,9439114
outer_fold,20.0,0.0,314781696,63072420
outer_fold,20.0,1.0,328675328,67017673
outer_fold,20.0,2.0,339152896,72117672
outer_fold,40.0,0.0,339152896,61541856
outer_fold,40.0,1.0,339152896,66501896
outer_fold,40.0,2.0,348954624,71555564
outer_fold,60.0,0.0,348954624,60931290
outer_fold,60.0,1.0,348954624,65941035
outer_fold,60.0,2.0,354332672,71132908
post_selection_legacy_audit,,,373919744,60140077
