date,horizon,fold,evaluation_scope,actual_class,predicted_class,raw_prob_bull,prob_bull,raw_prob_sideway,prob_sideway,raw_prob_bear,prob_bear,raw_prob_stress,prob_stress,raw_baseline_risk_off_probability,baseline_risk_off_probability,raw_candidate_risk_off_probability,candidate_risk_off_probability,baseline_risk_off_threshold,candidate_risk_off_threshold,baseline_risk_off_alert,candidate_risk_off_alert,baseline_temperature,candidate_temperature,actual_risk_off,forward_return,future_mae
2021-04-02,20,-1,post_selection_legacy_audit,Sideway,Bear,0.16797654713507984,0.21714077450329336,0.19599926163085657,0.23155835722096915,0.462257622051885,0.3310722742513266,0.1737665691821786,0.22022859402441083,0.6360241912340636,0.5513008682757374,0.6276557919185319,0.543404905131919,0.46,0.37,1,1,2.4,3.0,0,0.025782602559888818,-0.0071141426663261995
2021-04-05,20,-1,post_selection_legacy_audit,Sideway,Bear,0.1924753134427912,0.23106161015960353,0.1626343138947709,0.2153987968050728,0.4847531382997663,0.3395250273311408,0.16013723436267158,0.2140145657041829,0.6448903726624379,0.5535395930353237,0.6788596167251603,0.5620563836096392,0.46,0.37,1,1,2.4,3.0,0,0.011678636086075988,-0.016543190374717555
2021-04-06,20,-1,post_selection_legacy_audit,Sideway,Bear,0.19655214162222112,0.22825181422743726,0.18851503243102605,0.22431552085321962,0.3680257419063253,0.2964247155223695,0.2469070840404276,0.25100794939697363,0.6149328259467529,0.5474326649193431,0.6521925343353355,0.5521999969762595,0.46,0.37,1,1,2.4,3.0,0,0.0014908717106468137,-0.01970150011511537
2021-04-07,20,-1,post_selection_legacy_audit,Sideway,Bear,0.24248428957943458,0.24801917104943683,0.17653933049032436,0.21729564903023307,0.30328249445348543,0.2722514128238261,0.2776938854767556,0.26243376709650407,0.580976379930241,0.5346851799203302,0.6347680458810179,0.5459307299499921,0.46,0.37,1,1,2.4,3.0,0,0.013749437214461308,-0.021651273930676174
2021-04-08,20,-1,post_selection_legacy_audit,Sideway,Bear,0.16291788918370836,0.21271243682211835,0.16207175080083044,0.212251423530242,0.3820115931645039,0.3033922292232498,0.29299876685095716,0.2716439104243898,0.6750103600154611,0.5750361396476396,0.7087239270337892,0.5735617872128119,0.46,0.37,1,1,2.4,3.0,0,0.016982017385489413,-0.0156042763701548
2021-04-09,20,-1,post_selection_legacy_audit,Bull,Stress,0.1403701332294397,0.20148371001670234,0.14872494121552407,0.20639637318428083,0.3069994112312382,0.2791575973742103,0.40390551432379806,0.3129623194248064,0.7109049255550363,0.5921199167990168,0.7087239270337892,0.5735617872128119,0.46,0.37,1,1,2.4,3.0,0,0.0299372552057062,-0.012985232080503393
2021-04-12,20,-1,post_selection_legacy_audit,Sideway,Stress,0.24185577404869066,0.24838457345294082,0.17518565661705432,0.21715366065826702,0.23503953736762562,0.24544346826999966,0.3479190319666294,0.2890182976187925,0.5829585693342549,0.5344617658887921,0.7071614842405582,0.5729455696645253,0.46,0.37,1,1,2.4,3.0,0,0.007588207136986128,-0.029724012103359978
2021-04-13,20,-1,post_selection_legacy_audit,Sideway,Stress,0.1980496992429693,0.23217647994373458,0.12326264114071973,0.19054991379360933,0.26053100085774517,0.260277762394245,0.4181566587585659,0.31699584386841095,0.6786876596163111,0.577273606262656,0.6791106585146028,0.5621508825870148,0.46,0.37,1,1,2.4,3.0,0,0.01433998541832335,-0.02642903715352716
2021-04-14,20,-1,post_selection_legacy_audit,Sideway,Stress,0.2188559143893428,0.24222127202102364,0.12885053226055823,0.19424458366031463,0.2143844236757835,0.24014681939602736,0.43790912967431556,0.3233873249226343,0.6522935533500991,0.5635341443186617,0.6342425013852266,0.5457434692498861,0.46,0.37,1,1,2.4,3.0,0,0.002250882810852992,-0.03245093858745773
2021-04-15,20,-1,post_selection_legacy_audit,Sideway,Stress,0.1584725813538977,0.21525931603395687,0.13434556593044472,0.20094357508635044,0.18677130425751362,0.2305120487879095,0.5204105484581439,0.3532850600917833,0.7071818527156576,0.5837971088796928,0.6146336198143301,0.5388243410351476,0.46,0.37,1,1,2.4,3.0,0,0.004344128467060555,-0.02556350684199824
2021-04-16,20,-1,post_selection_legacy_audit,Sideway,Stress,0.17348972818507455,0.2198930288360142,0.16742130705039324,0.21665490643552307,0.20159721891568042,0.2340898673425196,0.4574917458488517,0.3293621973859432,0.6590889647645322,0.5634520647284628,0.592974448711213,0.5313152367978232,0.46,0.37,1,1,2.4,3.0,0,0.019015445818761342,-0.018692894608156197
2021-04-19,20,-1,post_selection_legacy_audit,Sideway,Stress,0.2845192160075087,0.2688214143408979,0.16099925940282236,0.21204464518896007,0.15827373656995178,0.2105415019422698,0.39620778801971707,0.3085924385278722,0.5544815245896688,0.519133940470142,0.5518541589004707,0.5173401339373328,0.46,0.37,1,1,2.4,3.0,0,0.013896552605106789,-0.036194311593111754
2021-04-20,20,-1,post_selection_legacy_audit,Sideway,Stress,0.27559285369930825,0.26686619764331826,0.12267801870211582,0.19047357583812333,0.18285388703492247,0.22493584563431532,0.4188752405636534,0.3177243808842431,0.6017291275985759,0.5426602265185584,0.5607772214221212,0.5203485018011927,0.46,0.37,1,1,2.4,3.0,0,0.01226403482058095,-0.042284030910107746
2021-04-22,20,-1,post_selection_legacy_audit,Bull,Stress,0.2393628894635087,0.24758715771038045,0.17985119561546942,0.21978682747154074,0.21861862165414184,0.23840979059506567,0.3621672932668801,0.29421622422301313,0.5807859149210219,0.5326260148180788,0.5705122242263975,0.5236441285454846,0.46,0.37,1,1,2.4,3.0,0,0.05556897066617487,-0.009862618259509473
