model,horizon,fold,n_obs,threshold,recall,precision,f1,specificity,false_negative_rate,false_positive_rate,pr_auc,roc_auc,brier,log_loss,ece,calibration_slope,calibration_intercept,expected_false_negative_loss,expected_false_positive_opportunity_cost,expected_cost,worst_missed_drawdown,mean_missed_drawdown,alert_fraction,tp,fp,fn,tn,evaluation_scope
multiclass_probability_sum,20,-1,1296,0.46,0.5803571428571429,0.2805755395683453,0.37827352085354027,0.4791666666666667,0.41964285714285715,0.5208333333333334,0.3373232663831922,0.5547774057539683,0.23400340567523317,0.6608981138418482,0.2107505152226404,1.1843459993201442,-0.912961198119822,0.010276434930664081,0.012838071565506436,0.043667376357498684,0.22228925886587875,0.09445574234142305,0.5362654320987654,195,500,141,460,post_selection_legacy_audit
candidate_risk_off,20,-1,1296,0.37,0.9940476190476191,0.2585139318885449,0.4103194103194103,0.0020833333333333333,0.005952380952380952,0.9979166666666667,0.3694978681438833,0.5595315600198413,0.2568485984867476,0.7069782017114902,0.26653646699835376,0.7838825718963641,-1.106000242175542,0.00014027242121630016,0.024726667754560908,0.025147485018209813,0.09187076291648327,0.0908965289481625,0.9969135802469136,334,958,2,2,post_selection_legacy_audit
multiclass_probability_sum,40,-1,1276,0.39,0.7956656346749226,0.2557213930348259,0.3870481927710843,0.21511017838405036,0.2043343653250774,0.7848898216159497,0.3189480615515239,0.5682397772717084,0.22839136011449104,0.6497708243163025,0.21230089606946267,0.5835962474088079,-0.9728439887945541,0.007374000616499746,0.028901056782814016,0.05102305863231325,0.26312864126699825,0.1425640119189951,0.7876175548589341,257,748,66,205,post_selection_legacy_audit
candidate_risk_off,40,-1,1276,0.29,0.9969040247678018,0.25254901960784315,0.4030037546933667,0.0,0.0030959752321981426,1.0,0.27670637817530674,0.5546554955996869,0.24583437072894654,0.6848639854662778,0.23896072339421218,0.3657488018154379,-1.0675705462589242,0.00012806459745926836,0.03621833896482265,0.03660253275720045,0.16341042635802644,0.16341042635802644,0.9992163009404389,322,953,1,0,post_selection_legacy_audit
multiclass_probability_sum,60,-1,1256,0.35,0.9269102990033222,0.23172757475083056,0.3707641196013289,0.031413612565445025,0.07308970099667775,0.9685863874345549,0.22606360014016239,0.4693291123828077,0.2333505749235091,0.6597103175810206,0.21306699222282183,-0.6996592700224793,-1.305287003321054,0.0023995459219838533,0.04242099837289271,0.04961963613884427,0.16347053857783306,0.1369922580914418,0.9585987261146497,279,925,22,30,post_selection_legacy_audit
candidate_risk_off,60,-1,1256,0.49,0.16279069767441862,0.14759036144578314,0.15481832543443919,0.7036649214659686,0.8372093023255814,0.2963350785340314,0.19164908806569925,0.4030613487328451,0.2377349085439513,0.6680009080343706,0.21737866935095443,-1.0098388646893293,-1.3452379501794163,0.037098543953634974,0.013359091430903502,0.12465472329180845,0.3459985682431115,0.18490385399113304,0.2643312101910828,49,283,252,672,post_selection_legacy_audit
