model,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,turnover,total_transaction_cost,hit_rate,average_exposure,time_in_market,state_changes,cvar_95,time_in_risk_reduced_state,avoided_loss,opportunity_cost
baseline_no_overlay,0.30380297707105663,0.044836962403243585,0.07640686190836332,0.5868185302128712,0.6575848856416573,0.18194471263505518,-0.24643179652699,38.528564499834445,0.038528564499834446,0.5586854460093896,0.4173934700072969,0.9993293091884641,1490,0.012840843023846835,0.0,,
baseline_risk_overlay,0.07769712386076377,0.012646727635216792,0.03514285186009208,0.359866287618459,0.3664117535049169,0.10356638451301112,-0.12211228280956332,31.864194187726262,0.031864194187726264,0.5553319919517102,0.1546513296770822,0.9993293091884641,1490,0.005993075145559853,1.0,1.3557938045069788,1.546651210458941
buy_and_hold,1.0346360094560132,0.12005356694604542,0.1773510128035887,0.676926311545801,0.7830175575952908,0.26523354909034885,-0.4526334144295996,1.0,0.001,0.5606975184439973,0.9993293091884641,0.9993293091884641,1,0.029569362325720563,0.0,,
cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,,
