horizon,outer_fold,model_kind,feature_group,objective,recall,precision,pr_auc,brier,ece,expected_cost,admissible,constraint_failures,inner_folds
20,0,logistic,base,0.44600380367499526,0.9933333333333334,0.4176414373088685,0.47614595635354506,0.39785327018319705,0.39222503624637134,0.029419098763744198,False,brier_tolerance_exceeded;recall_below_baseline,2
20,0,hist_gradient_boosting,base,0.4410834849620753,1.0,0.4083686440677966,0.47201499135771696,0.32696957348550826,0.29094400730575987,0.030259556831176072,False,brier_tolerance_exceeded,2
20,0,ebm,base,0.4495237544092917,1.0,0.41052350427350426,0.45953665169287955,0.3775371679244022,0.37255117306420027,0.029668039347033402,False,brier_tolerance_exceeded,2
20,0,logistic,base_plus_downside_price,0.40970190285464403,0.98,0.4306577834179357,0.47784194258899826,0.3153217277178483,0.2874822821410482,0.0244070564644399,False,brier_tolerance_exceeded;recall_below_baseline,2
20,0,hist_gradient_boosting,base_plus_downside_price,0.44454925324952055,0.9666666666666667,0.4209401709401709,0.43614306437054867,0.3302551150787172,0.296370910260314,0.029199645357770847,False,brier_tolerance_exceeded;recall_below_baseline,2
20,0,ebm,base_plus_downside_price,0.449302923566549,0.94,0.430327868852459,0.47582915587998487,0.37220915257798903,0.3608713973362023,0.030179794921831066,False,brier_tolerance_exceeded;recall_below_baseline,2
20,0,logistic,base_plus_downside_all,0.4081364073927257,0.9957983193277311,0.4297887539544851,0.4697174251919546,0.31289375937321806,0.2750672301810908,0.024433951166418673,False,brier_tolerance_exceeded,2
20,0,hist_gradient_boosting,base_plus_downside_all,0.44728612813756946,0.9649299719887955,0.41960800260247233,0.4293615810128078,0.32470645027018724,0.267969616815536,0.029854221707044472,False,brier_tolerance_exceeded;recall_below_baseline,2
20,0,ebm,base_plus_downside_all,0.44954264437297103,1.0,0.4073048523206751,0.46676997029903217,0.36842448462264127,0.3523778281536202,0.030204494306815245,False,brier_tolerance_exceeded,2
20,1,logistic,base,0.47610895977650136,0.8775510204081632,0.3226802098824322,0.29994214196836405,0.43396353079934386,0.4557302901935521,0.02212300192789588,False,brier_tolerance_exceeded;precision_below_minimum;recall_below_baseline,2
20,1,hist_gradient_boosting,base,0.39024028587837567,0.9323019530392802,0.36793728034603945,0.3746897521725272,0.33883828829918755,0.3456203544436782,0.013912317327011698,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,ebm,base,0.43552559639196703,0.8463901689708142,0.35080645161290325,0.39740560043692563,0.40504930384569793,0.44820479549158176,0.01842877306833371,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,logistic,base_plus_downside_price,0.4451184557238428,0.9285714285714286,0.3300606641123882,0.33761648941937183,0.37499167172832903,0.39572186082402516,0.021247100573352953,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,hist_gradient_boosting,base_plus_downside_price,0.3675072158194119,0.9489795918367347,0.41823979591836735,0.434410432832397,0.3366290659861121,0.35957916042363225,0.01300944648944363,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,ebm,base_plus_downside_price,0.42627500184429495,0.902786921220101,0.3470635960806341,0.3663993076709092,0.38956827693333285,0.42295804490065003,0.017615206392686874,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,logistic,base_plus_downside_all,0.45216126131649803,0.8673469387755102,0.35059775216550937,0.3310281007846807,0.3676202993540027,0.3951024255577732,0.021524112108592307,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,hist_gradient_boosting,base_plus_downside_all,0.3662427496221828,0.9489795918367347,0.41823979591836735,0.4371669721261424,0.33301691871958206,0.35254028818709154,0.01300944648944363,False,brier_tolerance_exceeded;recall_below_baseline,2
20,1,ebm,base_plus_downside_all,0.40962611350750266,0.892034233048058,0.35744322960470987,0.42250114606507366,0.3800585693482619,0.4197957634847455,0.016929568626785796,False,brier_tolerance_exceeded;recall_below_baseline,2
20,2,logistic,base,0.44327901595851743,0.9339591567852437,0.32574018982858766,0.3647136658728558,0.5011109651736977,0.5641287736319678,0.017839221270278587,False,brier_tolerance_exceeded;precision_below_minimum,2
20,2,hist_gradient_boosting,base,0.4491656685183817,0.9945652173913043,0.3160522273425499,0.30244507154974165,0.47002734927542017,0.5146217131888742,0.019026597687907577,False,brier_tolerance_exceeded;precision_below_minimum,2
