date,horizon,fold,evaluation_scope,actual_class,predicted_class,raw_prob_bull,prob_bull,raw_prob_sideway,prob_sideway,raw_prob_bear,prob_bear,raw_prob_stress,prob_stress,raw_baseline_risk_off_probability,baseline_risk_off_probability,raw_candidate_risk_off_probability,candidate_risk_off_probability,baseline_risk_off_threshold,candidate_risk_off_threshold,baseline_risk_off_alert,candidate_risk_off_alert,baseline_temperature,candidate_temperature,actual_risk_off,forward_return,future_mae
2015-03-19,20,0,nested_purged_development_oos,Stress,Stress,0.06888031337296867,0.1526721911896733,0.2792118293562524,0.27354328850559223,0.20791422272487817,0.2419201579493695,0.4439936345459008,0.33186436235536504,0.6519078572707789,0.5737845203047345,0.8794864418832439,0.6598274326830543,0.42,0.37,1,1,2.4,3.0,1,-0.009562077025088732,-0.06262775094325397
2015-03-20,20,0,nested_purged_development_oos,Stress,Stress,0.08332160962272174,0.16637651208600007,0.21864985733301076,0.2486977332013867,0.17731861307324412,0.227906806971015,0.5207099199710234,0.35701894774159826,0.6980285330442676,0.5849257547126132,0.795134644010148,0.6111272025101148,0.42,0.37,1,1,2.4,3.0,1,-0.012450325195350232,-0.0655863844733898
2015-03-23,20,0,nested_purged_development_oos,Stress,Stress,0.06584691885542436,0.15353734219992182,0.1959416782171123,0.2418486982145946,0.16922689779034628,0.2275201287531562,0.5689845051371171,0.3770938308323273,0.7382114029274633,0.6046139595854835,0.8416956967981158,0.6357503485661399,0.42,0.37,1,1,2.4,3.0,1,-0.010300021513648899,-0.05764796552860463
2015-03-24,20,0,nested_purged_development_oos,Sideway,Stress,0.0746068643270969,0.16002713105086744,0.23539861817219346,0.25829782750989166,0.15838925436146128,0.2189885992143434,0.5316052631392484,0.3626864422248975,0.6899945175007096,0.5816750414392409,0.8372672576276645,0.6332097023628311,0.42,0.37,1,1,2.4,3.0,0,-0.009188588731211764,-0.0515688126442331
2015-03-25,20,0,nested_purged_development_oos,Sideway,Stress,0.09783250919805175,0.1761321516747978,0.16718321462099456,0.2201916894208914,0.2508072718156463,0.260732816161329,0.4841770043653073,0.3429433427429819,0.7349842761809536,0.6036761589043109,0.8567475824819718,0.6447814914106352,0.42,0.37,1,1,2.4,3.0,0,0.0028127911445550665,-0.04004753946806405
2015-03-26,20,0,nested_purged_development_oos,Sideway,Stress,0.09753071221295702,0.17711110348887105,0.16080680898559896,0.2181375284852571,0.21995740073429282,0.24854857752826573,0.5217050780671512,0.3562027904976061,0.741662478801444,0.6047513680258718,0.861748180130468,0.6479321557417116,0.42,0.37,1,1,2.4,3.0,0,0.009110416419491688,-0.031507441551261464
2015-03-27,20,0,nested_purged_development_oos,Bull,Stress,0.09531369943016964,0.1779718689948945,0.14867705465813474,0.21419284239699393,0.17730768626623464,0.230501165892612,0.578701559645461,0.37733412271549954,0.7560092459116956,0.6078352886081115,0.8283408820144248,0.6282316544301969,0.42,0.37,1,1,2.4,3.0,0,0.02569086595108084,-0.022948188155591447
2015-03-30,20,0,nested_purged_development_oos,Bull,Stress,0.09910071240659628,0.17927258856235492,0.15851297711514759,0.2180263120476813,0.19334361419019003,0.23683869684434236,0.5490426962880662,0.36586240254562147,0.7423863104782562,0.6027010993899639,0.7953600038346008,0.6112368352785186,0.42,0.37,1,1,2.4,3.0,0,0.031078982735175356,-0.01158577667556872
2015-03-31,20,0,nested_purged_development_oos,Sideway,Bear,0.22642561881225562,0.2442568101243189,0.12098750507905408,0.18812055305756736,0.3695639709390611,0.2995700372754626,0.2830229051696292,0.2680525995426511,0.6525868761086904,0.5676226368181136,0.8602501941587579,0.6469798126356032,0.42,0.37,1,1,2.4,3.0,0,-0.011038143107335297,-0.02242213490324443
2015-04-01,20,0,nested_purged_development_oos,Bull,Bear,0.1855141390141942,0.22256631064635837,0.277603129462475,0.2632666332494128,0.3433857501745688,0.2876592094210924,0.19349698134876198,0.22650784668313634,0.5368827315233308,0.5141670561042287,0.8394521302937858,0.6344570397812611,0.42,0.37,1,1,2.4,3.0,0,0.025176308671253436,0.0075054887031787455
