date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae,evaluation_scope
2021-04-02,20,-1,multiclass_probability_sum,0,0.5513008682757374,0.46,1,0.025782602559888818,-0.0071141426663261995,post_selection_legacy_audit
2021-04-05,20,-1,multiclass_probability_sum,0,0.5535395930353237,0.46,1,0.011678636086075988,-0.016543190374717555,post_selection_legacy_audit
2021-04-06,20,-1,multiclass_probability_sum,0,0.5474326649193431,0.46,1,0.0014908717106468137,-0.01970150011511537,post_selection_legacy_audit
2021-04-07,20,-1,multiclass_probability_sum,0,0.5346851799203302,0.46,1,0.013749437214461308,-0.021651273930676174,post_selection_legacy_audit
2021-04-08,20,-1,multiclass_probability_sum,0,0.5750361396476396,0.46,1,0.016982017385489413,-0.0156042763701548,post_selection_legacy_audit
2021-04-09,20,-1,multiclass_probability_sum,0,0.5921199167990168,0.46,1,0.0299372552057062,-0.012985232080503393,post_selection_legacy_audit
2021-04-12,20,-1,multiclass_probability_sum,0,0.5344617658887921,0.46,1,0.007588207136986128,-0.029724012103359978,post_selection_legacy_audit
2021-04-13,20,-1,multiclass_probability_sum,0,0.577273606262656,0.46,1,0.01433998541832335,-0.02642903715352716,post_selection_legacy_audit
2021-04-14,20,-1,multiclass_probability_sum,0,0.5635341443186617,0.46,1,0.002250882810852992,-0.03245093858745773,post_selection_legacy_audit
2021-04-15,20,-1,multiclass_probability_sum,0,0.5837971088796928,0.46,1,0.004344128467060555,-0.02556350684199824,post_selection_legacy_audit
2021-04-16,20,-1,multiclass_probability_sum,0,0.5634520647284628,0.46,1,0.019015445818761342,-0.018692894608156197,post_selection_legacy_audit
2021-04-19,20,-1,multiclass_probability_sum,0,0.519133940470142,0.46,1,0.013896552605106789,-0.036194311593111754,post_selection_legacy_audit
2021-04-20,20,-1,multiclass_probability_sum,0,0.5426602265185584,0.46,1,0.01226403482058095,-0.042284030910107746,post_selection_legacy_audit
2021-04-22,20,-1,multiclass_probability_sum,0,0.5326260148180788,0.46,1,0.05556897066617487,-0.009862618259509473,post_selection_legacy_audit
2021-04-23,20,-1,multiclass_probability_sum,0,0.439452640122725,0.46,0,0.04697572054400895,-0.026589238366593073,post_selection_legacy_audit
2021-04-26,20,-1,multiclass_probability_sum,0,0.46402953299479777,0.46,1,0.07975098546314956,0.0032682987967980587,post_selection_legacy_audit
2021-04-27,20,-1,multiclass_probability_sum,0,0.4439115082905901,0.46,0,0.0664607348084209,0.008002329071202794,post_selection_legacy_audit
2021-04-28,20,-1,multiclass_probability_sum,0,0.4342291460664992,0.46,0,0.07133191195501053,0.007971074308104606,post_selection_legacy_audit
2021-04-29,20,-1,multiclass_probability_sum,0,0.4349329500498545,0.46,0,0.06909237785476872,0.0019506696496567188,post_selection_legacy_audit
2021-05-04,20,-1,multiclass_probability_sum,0,0.4260828392624364,0.46,0,0.07412752252957851,-0.0003140084002919927,post_selection_legacy_audit
2021-05-05,20,-1,multiclass_probability_sum,0,0.43239831591640654,0.46,0,0.06497716802342302,-0.011704373400452833,post_selection_legacy_audit
2021-05-06,20,-1,multiclass_probability_sum,0,0.4486124055105958,0.46,0,0.0870273695690733,-0.007029454635031611,post_selection_legacy_audit
2021-05-07,20,-1,multiclass_probability_sum,0,0.44667642899568505,0.46,0,0.10119259049717258,0.008715263483296772,post_selection_legacy_audit
2021-05-10,20,-1,multiclass_probability_sum,0,0.4212865375134133,0.46,0,0.07580890626422833,-0.005493075836078526,post_selection_legacy_audit
2021-05-11,20,-1,multiclass_probability_sum,0,0.46111422028741,0.46,1,0.04957690870223289,-0.002678658446585331,post_selection_legacy_audit
2021-05-12,20,-1,multiclass_probability_sum,0,0.4483779660272231,0.46,0,0.04905691142461452,-0.013014851977150698,post_selection_legacy_audit
2021-05-13,20,-1,multiclass_probability_sum,0,0.48453668460738186,0.46,1,0.04765034648857242,-0.007404583931287109,post_selection_legacy_audit
2021-05-14,20,-1,multiclass_probability_sum,0,0.4544904927921374,0.46,0,0.06524600794610749,-0.010861387262791622,post_selection_legacy_audit
2021-05-17,20,-1,multiclass_probability_sum,0,0.46802441809584205,0.46,1,0.07866916424815892,-0.004794186089251953,post_selection_legacy_audit
2021-05-18,20,-1,multiclass_probability_sum,0,0.46106984409904117,0.46,1,0.08759661724745263,0.007800705117858562,post_selection_legacy_audit
2021-05-19,20,-1,multiclass_probability_sum,0,0.4613371123689774,0.46,1,0.07183663549025417,0.01238252377130099,post_selection_legacy_audit
2021-05-20,20,-1,multiclass_probability_sum,0,0.45501710395060435,0.46,0,0.061957389373147195,0.00445720153247006,post_selection_legacy_audit
2021-05-21,20,-1,multiclass_probability_sum,0,0.4818854376027956,0.46,1,0.07054056344984726,0.01088352319499557,post_selection_legacy_audit
2021-05-24,20,-1,multiclass_probability_sum,0,0.4967379903224408,0.46,1,0.05591939774190597,0.004297444679534642,post_selection_legacy_audit
2021-05-25,20,-1,multiclass_probability_sum,0,0.49690432835955717,0.46,1,0.053119179974766645,-0.0038359253053831138,post_selection_legacy_audit
2021-05-26,20,-1,multiclass_probability_sum,0,0.5123484986016342,0.46,1,0.04468420077600449,-0.010021951857930596,post_selection_legacy_audit
2021-05-27,20,-1,multiclass_probability_sum,0,0.541362047707972,0.46,1,0.056773925509462725,0.012434168852658242,post_selection_legacy_audit
2021-05-28,20,-1,multiclass_probability_sum,0,0.5358376280365494,0.46,1,0.05140991361152855,-0.00043933736513411737,post_selection_legacy_audit
2021-05-31,20,-1,multiclass_probability_sum,0,0.5134680126737288,0.46,1,0.05690194817387743,-0.006170877572996955,post_selection_legacy_audit
2021-06-01,20,-1,multiclass_probability_sum,0,0.5086724297453928,0.46,1,0.05260654910937246,-0.013470700297755342,post_selection_legacy_audit
2021-06-02,20,-1,multiclass_probability_sum,0,0.5330722210313211,0.46,1,0.04930927229511828,-0.01571071079176085,post_selection_legacy_audit
