date,strategy,drawdown
2015-03-19,baseline_no_overlay,0.0
2015-03-20,baseline_no_overlay,0.0
2015-03-23,baseline_no_overlay,-0.002576777664721752
2015-03-24,baseline_no_overlay,-0.0044624027502914165
2015-03-25,baseline_no_overlay,-0.008162458682801077
2015-03-26,baseline_no_overlay,-0.010917650305085402
2015-03-27,baseline_no_overlay,-0.013654081236006643
2015-03-30,baseline_no_overlay,-0.017233666660368296
2015-03-31,baseline_no_overlay,-0.013783253916060723
2015-04-01,baseline_no_overlay,-0.02227995970228902
2015-04-02,baseline_no_overlay,-0.016595157267016436
2015-04-03,baseline_no_overlay,-0.01587680372557132
2015-04-06,baseline_no_overlay,-0.01949407364535949
2015-04-07,baseline_no_overlay,-0.01591184069486995
2015-04-08,baseline_no_overlay,-0.016243712057685933
2015-04-09,baseline_no_overlay,-0.014288564289090644
2015-04-10,baseline_no_overlay,-0.01189733728707476
2015-04-13,baseline_no_overlay,-0.008326666085027412
2015-04-14,baseline_no_overlay,-0.009039429524213993
2015-04-15,baseline_no_overlay,-0.005013321385154312
2015-04-16,baseline_no_overlay,-0.0022306928095888745
2015-04-17,baseline_no_overlay,-0.002214600391146626
2015-04-20,baseline_no_overlay,-0.004559222111366612
2015-04-21,baseline_no_overlay,-0.006490950147571395
2015-04-22,baseline_no_overlay,-0.006352279348323053
2015-04-23,baseline_no_overlay,-0.0071728661686232265
2015-04-24,baseline_no_overlay,-0.004203815603665451
2015-04-27,baseline_no_overlay,-0.006537792238557327
2015-05-04,baseline_no_overlay,-0.017448317058117557
2015-05-05,baseline_no_overlay,-0.013026550002280257
2015-05-06,baseline_no_overlay,-0.015388142028438745
2015-05-07,baseline_no_overlay,-0.01300677819561924
2015-05-08,baseline_no_overlay,-0.01197402373726808
2015-05-11,baseline_no_overlay,-0.013977094374296284
2015-05-12,baseline_no_overlay,-0.018725364769270003
2015-05-13,baseline_no_overlay,-0.019748628830023485
2015-05-14,baseline_no_overlay,-0.01920193433344164
2015-05-15,baseline_no_overlay,-0.023298974633356062
2015-05-18,baseline_no_overlay,-0.028908730398511273
