horizon,fold,model,minimum,q05,median,q95,maximum,mean
20,0,logistic,0.2364545230907789,0.2364545230907789,0.37169224494509484,3.020492258915843,3.494609454024962,1.0
20,1,hist_gradient_boosting,0.23240783489000014,0.23240783489000014,0.35374473353376,3.101612634875879,3.512119787617834,1.0
20,2,ebm,0.22942585338540342,0.22942585338540342,0.34602741247509794,3.142380237551508,3.5283794034297125,0.9999999999999999
40,0,logistic,0.2321053312698187,0.2321053312698187,0.4023883959705034,2.8314386146201462,3.3137987091054795,1.0
40,1,ebm,0.22593972122072029,0.22593972122072029,0.3777051305988418,2.9301761507709285,3.337443029488666,1.0
40,2,hist_gradient_boosting,0.22242756880403527,0.22242756880403527,0.3670739466329713,3.0137094747080764,3.3650113623353337,1.0
60,0,hist_gradient_boosting,0.24375746472976118,0.24375746472976118,0.4574309174099612,2.6197475669124746,3.1555301253615164,1.0
60,1,hist_gradient_boosting,0.23271805062840825,0.23271805062840825,0.40455400066199126,2.6974779964556825,3.320504323681777,0.9999999999999998
60,2,ebm,0.22685443490797094,0.22685443490797094,0.39002457377859034,2.7669841057997364,3.343240951115411,1.0
