date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae,baseline_exposure
2015-03-19,20,0,multiclass_probability_sum,1,0.5737845203047345,0.42,1,-0.009562077025088732,-0.06262775094325397,
2015-03-20,20,0,multiclass_probability_sum,1,0.5849257547126132,0.42,1,-0.012450325195350232,-0.0655863844733898,
2015-03-23,20,0,multiclass_probability_sum,1,0.6046139595854835,0.42,1,-0.010300021513648899,-0.05764796552860463,
2015-03-24,20,0,multiclass_probability_sum,0,0.5816750414392409,0.42,1,-0.009188588731211764,-0.0515688126442331,
2015-03-25,20,0,multiclass_probability_sum,0,0.6036761589043109,0.42,1,0.0028127911445550665,-0.04004753946806405,
2015-03-26,20,0,multiclass_probability_sum,0,0.6047513680258718,0.42,1,0.009110416419491688,-0.031507441551261464,
2015-03-27,20,0,multiclass_probability_sum,0,0.6078352886081115,0.42,1,0.02569086595108084,-0.022948188155591447,
2015-03-30,20,0,multiclass_probability_sum,0,0.6027010993899639,0.42,1,0.031078982735175356,-0.01158577667556872,
2015-03-31,20,0,multiclass_probability_sum,0,0.5676226368181136,0.42,1,-0.011038143107335297,-0.02242213490324443,
2015-04-01,20,0,multiclass_probability_sum,0,0.5141670561042287,0.42,1,0.025176308671253436,0.0075054887031787455,
2015-04-02,20,0,multiclass_probability_sum,0,0.517588893224554,0.42,1,0.004470198567339841,-0.007120471992344992,
2015-04-03,20,0,multiclass_probability_sum,0,0.5069704287009327,0.42,1,0.00932030765163346,-0.008947457062512586,
2015-04-06,20,0,multiclass_probability_sum,0,0.5285532597470226,0.42,1,0.021030771104020286,0.0038785030927302212,
2015-04-07,20,0,multiclass_probability_sum,0,0.4950791141728239,0.42,1,0.006474044689404713,-0.005543423849846513,
2015-04-08,20,0,multiclass_probability_sum,0,0.5435610955716437,0.42,1,-0.0060615680089907914,-0.0060615680089907914,
2015-04-09,20,0,multiclass_probability_sum,0,0.5526756789975393,0.42,1,-0.014085512845626388,-0.014085512845626388,
2015-04-10,20,0,multiclass_probability_sum,0,0.5696250687057905,0.42,1,-0.018839605418816876,-0.020441063639980883,
2015-04-13,20,0,multiclass_probability_sum,1,0.5031311220945032,0.42,1,-0.04029789173646911,-0.04029789173646911,
2015-04-14,20,0,multiclass_probability_sum,1,0.5407918490509553,0.42,1,-0.05466504951044708,-0.05466504951044708,
2015-04-15,20,0,multiclass_probability_sum,1,0.5101539185751042,0.42,1,-0.050277540802157024,-0.06504647415693307,
2015-04-16,20,0,multiclass_probability_sum,1,0.5174840382832925,0.42,1,-0.03251417512246384,-0.07172034557109266,
2015-04-17,20,0,multiclass_probability_sum,1,0.5092854663474746,0.42,1,-0.02812261558303323,-0.071790730930967,
2015-04-20,20,0,multiclass_probability_sum,1,0.5444894557260359,0.42,1,-0.005715011206582663,-0.06600261566788307,
2015-04-21,20,0,multiclass_probability_sum,1,0.575277005251964,0.42,1,0.0013508231409580262,-0.06103489556594871,
2015-04-22,20,0,multiclass_probability_sum,1,0.5734735040970946,0.42,1,0.008303063519587657,-0.06151500226554653,
2015-04-23,20,0,multiclass_probability_sum,1,0.5433639265024224,0.42,1,0.009275336287054594,-0.059272529623680445,
2015-04-24,20,0,multiclass_probability_sum,1,0.5605983845832934,0.42,1,0.01264572413078944,-0.06729372575959973,
2015-04-27,20,0,multiclass_probability_sum,1,0.5986114970296459,0.42,1,0.012650792416338631,-0.061319431063671485,
2015-05-04,20,0,multiclass_probability_sum,0,0.6196379890048042,0.42,1,0.053402684702105734,-0.030038663448836492,
2015-05-05,20,0,multiclass_probability_sum,0,0.5182463605745873,0.42,1,0.03145518288269492,-0.04383098032418072,
2015-05-06,20,0,multiclass_probability_sum,0,0.5510292317719211,0.42,1,0.03330060653481208,-0.03775083091579098,
2015-05-07,20,0,multiclass_probability_sum,0,0.5362679967144799,0.42,1,0.02854102477641558,-0.044427925070252096,
2015-05-08,20,0,multiclass_probability_sum,0,0.5318299603773609,0.42,1,0.04161012771301068,-0.047190931460126366,
2015-05-11,20,0,multiclass_probability_sum,0,0.5652710611380664,0.42,1,0.04978491570810675,-0.0420561319880878,
2015-05-12,20,0,multiclass_probability_sum,0,0.5703807574889218,0.42,1,0.05374523714914319,-0.028808730022258564,
2015-05-13,20,0,multiclass_probability_sum,0,0.5707081257168974,0.42,1,0.056025823907885824,-0.025883863832921683,
2015-05-14,20,0,multiclass_probability_sum,0,0.5557739962823042,0.42,1,0.06645758018201317,-0.0274853220540857,
2015-05-15,20,0,multiclass_probability_sum,0,0.5537030607630511,0.42,1,0.08090683142861799,-0.01592321643119909,
2015-05-18,20,0,multiclass_probability_sum,0,0.6099551836355217,0.42,1,0.10324465748254756,0.014768933354776073,
2015-05-19,20,0,multiclass_probability_sum,0,0.5929320687963077,0.42,1,0.07796852702707208,0.024437237093852704,
2015-05-20,20,0,multiclass_probability_sum,0,0.5220037327051731,0.42,1,0.050977847438883804,0.004461944899304966,
2015-05-21,20,0,multiclass_probability_sum,0,0.5141879897375765,0.42,1,0.049069345033914386,0.016619489113366765,
2015-05-22,20,0,multiclass_probability_sum,0,0.4371304142970618,0.42,1,0.03991738128754075,0.0020981142456063745,
2015-05-25,20,0,multiclass_probability_sum,0,0.4399696293181292,0.42,1,0.05373436228907958,0.006162147203828059,
2015-05-26,20,0,multiclass_probability_sum,0,0.4063069169557143,0.42,0,0.04460046065803787,-0.0012701998743992523,
2015-05-27,20,0,multiclass_probability_sum,0,0.42781060873270244,0.42,1,0.040714659286796746,0.002503571539868269,
2015-05-28,20,0,multiclass_probability_sum,0,0.3967205579198242,0.42,0,0.025876581628115743,-0.00888801243978605,
2015-05-29,20,0,multiclass_probability_sum,0,0.4549118596280942,0.42,1,0.021176669269607335,-0.002918786029406957,
2015-06-01,20,0,multiclass_probability_sum,0,0.38398203937970554,0.42,0,0.028748990810367442,-0.012389910700339034,
2015-06-02,20,0,multiclass_probability_sum,0,0.4879429462433552,0.42,1,0.039098639835625386,-0.004234725756272433,
